,player,total_workers,resource_mining,total_army_value,total_army,supply,time,fraction,winner,replay_filename
0,HeRoMaRinE,69,26070,3725,47,133.0,846,T,1,cleanCode/replay_sample\787e297b85844284a1cb642c93e032d5.SC2Replay
1,Kelazhur,66,31586,3675,48,125.0,849,T,0,cleanCode/replay_sample\787e297b85844284a1cb642c93e032d5.SC2Replay
2,GuMiho,70,96147,7125,90,211.0,1058,T,0,cleanCode/replay_sample\792b4831e04e4529ac9767f6b3ce8158.SC2Replay
3,liquidthermy,32,6484,450,9,46.0,314,T,1,cleanCode/replay_sample\797dc594bfb74e4eb740549ce7582373.SC2Replay
4,SpeCial,49,17331,3100,46,118.0,625,T,1,cleanCode/replay_sample\816ab4f3a3f847d3ba88ba206ece0044.SC2Replay
5,Drunkenboi,27,6131,800,12,46.0,346,T,0,cleanCode/replay_sample\825dc905a5dd4cfdb95e0ac5533f070d.SC2Replay
6,Clem,77,66973,11550,113,219.0,1339,T,1,cleanCode/replay_sample\835aa02aa8f341b6a1c6785824bc0439.SC2Replay
7,iaguz,72,40284,8350,122,204.0,873,T,0,cleanCode/replay_sample\837a6dc58a1341e78bd46cfb740d9710.SC2Replay
8,SpeCial,50,23924,2225,36,101.0,574,T,0,cleanCode/replay_sample\838e55b5a13f460d8a6459ae3c87ec7d.SC2Replay
