,player,total_workers,total_army,fraction,winner,replay_filename
75,ZhuGeLiang,61,10275,Z,1,replays/firstRun\05f9e4aa68c94d69a3933bab19966bf0.SC2Replay
76,JonSnow,66,7875,Z,0,replays/firstRun\05f9e4aa68c94d69a3933bab19966bf0.SC2Replay
77,ByuN,50,2000,T,0,replays/firstRun\06b5b273d51748efb78de8f79bf9910b.SC2Replay
78,Stats,61,2300,P,1,replays/firstRun\06b5b273d51748efb78de8f79bf9910b.SC2Replay
79,Raze,30,1375,P,0,replays/firstRun\06c2145c1cf243269e050c1d58d8e674.SC2Replay
80,Dolan,28,1700,T,1,replays/firstRun\06c2145c1cf243269e050c1d58d8e674.SC2Replay
81,Harstem,63,5550,P,1,replays/firstRun\06c267255b5e4caeb47ef416a1e1a196.SC2Replay
82,Stats,67,2575,P,0,replays/firstRun\06c267255b5e4caeb47ef416a1e1a196.SC2Replay
83,Revolution,17,1025,Z,0,replays/firstRun\06d46743f9a04586a5e2ff880014295d.SC2Replay
84,Zanster,31,1525,Z,1,replays/firstRun\06d46743f9a04586a5e2ff880014295d.SC2Replay
85,Guru,64,7750,Z,1,replays/firstRun\06de1d29e67b4c61b88bec62744ece06.SC2Replay
86,MaNa,46,700,P,0,replays/firstRun\06de1d29e67b4c61b88bec62744ece06.SC2Replay
87,Fist,42,1650,Z,0,replays/firstRun\06e105e1a8ab4d0fb17b3c6e7d29b7d6.SC2Replay
88,Rex,49,1625,Z,1,replays/firstRun\06e105e1a8ab4d0fb17b3c6e7d29b7d6.SC2Replay
89,TooDming,65,3325,Z,1,replays/firstRun\06eefb9f1975438693fa17d2065ea1de.SC2Replay
90,xKawaiian,38,2150,T,0,replays/firstRun\06eefb9f1975438693fa17d2065ea1de.SC2Replay
91,Elazer,42,2100,Z,1,replays/firstRun\06f0d1c9759045f192070085ab23c24a.SC2Replay
92,Scarlett,45,2125,Z,0,replays/firstRun\06f0d1c9759045f192070085ab23c24a.SC2Replay
93,PtitDrogo,25,1225,P,1,replays/firstRun\06fc07c82ef345e1a6a7a1a89eecc3bc.SC2Replay
94,OGZest,25,725,P,0,replays/firstRun\06fc07c82ef345e1a6a7a1a89eecc3bc.SC2Replay
95,ShaDoWn,48,1000,P,0,replays/firstRun\07d561fb0cdf4a258f2b12ba4dadf916.SC2Replay
96,Solar,56,1675,Z,1,replays/firstRun\07d561fb0cdf4a258f2b12ba4dadf916.SC2Replay
97,Optimus,67,2375,T,1,replays/firstRun\07d6911f8fa84e47969f1df1c86c2139.SC2Replay
98,Zanster,52,6000,Z,0,replays/firstRun\07d6911f8fa84e47969f1df1c86c2139.SC2Replay
99,Nerchio,61,7375,Z,0,replays/firstRun\07e4640be7784ef4bed54019d192636f.SC2Replay
100,uThermal,68,4925,T,1,replays/firstRun\07e4640be7784ef4bed54019d192636f.SC2Replay
101,Semper,16,0,T,1,replays/firstRun\07f2f989d5a64e3aa0e430fe739b68c0.SC2Replay
102,ObiWanPwnobi,17,0,P,0,replays/firstRun\07f2f989d5a64e3aa0e430fe739b68c0.SC2Replay
103,eonblu,58,3200,Z,0,replays/firstRun\07f901e09f994a78a9eb89b10832f33d.SC2Replay
104,Clem,48,2625,T,1,replays/firstRun\07f901e09f994a78a9eb89b10832f33d.SC2Replay
105,PiLiPiLi,41,625,P,0,replays/firstRun\08a3adfbadc44e5c92320dad48e16332.SC2Replay
106,PandaBearMe,44,1050,Z,1,replays/firstRun\08a3adfbadc44e5c92320dad48e16332.SC2Replay
107,MaNa,49,3225,P,0,replays/firstRun\08b98a000de449e19f5e8a58ae2fb14a.SC2Replay
108,INnoVation,52,3925,T,1,replays/firstRun\08b98a000de449e19f5e8a58ae2fb14a.SC2Replay
109,Harstem,37,600,P,0,replays/firstRun\08e5b16f21f6474d9ac177798be740f7.SC2Replay
110,Elazer,27,1050,Z,1,replays/firstRun\08e5b16f21f6474d9ac177798be740f7.SC2Replay
111,Serral,41,3175,Z,0,replays/firstRun\09b52dcc90b84a889a41ee63cf52585f.SC2Replay
112,Neeb,47,475,P,1,replays/firstRun\09b52dcc90b84a889a41ee63cf52585f.SC2Replay
113,LiquidMaNa,59,1900,P,0,replays/firstRun\09c727fc85514809a59bfcad38f070f8.SC2Replay
114,Elazer,47,5225,Z,1,replays/firstRun\09c727fc85514809a59bfcad38f070f8.SC2Replay
115,Soulkey,58,2850,Z,0,replays/firstRun\09db9834b3794d01813271a3d3361822.SC2Replay
116,ByuN,52,1400,T,1,replays/firstRun\09db9834b3794d01813271a3d3361822.SC2Replay
117,RiSky,80,11250,Z,0,replays/firstRun\0a07fed3ad8749a4b2c64be5a205c9a0.SC2Replay
118,InZaNe,73,6925,T,1,replays/firstRun\0a07fed3ad8749a4b2c64be5a205c9a0.SC2Replay
119,NeXa,23,1025,P,0,replays/firstRun\0a0cdd1b8f9f4bf7a79793f656c4165c.SC2Replay
120,Buster,43,1525,T,1,replays/firstRun\0a0cdd1b8f9f4bf7a79793f656c4165c.SC2Replay
121,SortOf,27,1500,Z,0,replays/firstRun\0a0d156fb323465a9da45aadafac23f8.SC2Replay
122,TIME,28,1450,T,1,replays/firstRun\0a0d156fb323465a9da45aadafac23f8.SC2Replay
123,Optimus,47,3700,T,0,replays/firstRun\0a21c3752d6d44019f0682cec09dca01.SC2Replay
124,Bunny,57,1875,T,1,replays/firstRun\0a21c3752d6d44019f0682cec09dca01.SC2Replay
125,iGiA,50,9500,Z,0,replays/firstRun\0a2654dba651453bba0e5aacd81f86e5.SC2Replay
126,iGXiGua,66,11350,Z,1,replays/firstRun\0a2654dba651453bba0e5aacd81f86e5.SC2Replay
127,HaPe,25,550,P,1,replays/firstRun\0a3222d3532e49a5b350a715b7e1dd41.SC2Replay
128,WhiteWolf,22,400,T,0,replays/firstRun\0a3222d3532e49a5b350a715b7e1dd41.SC2Replay
129,PandaBearMe,25,1575,Z,1,replays/firstRun\0a3a125d7c7a4fdc8f3e8c231bcd574d.SC2Replay
130,Livibee,32,1175,Z,0,replays/firstRun\0a3a125d7c7a4fdc8f3e8c231bcd574d.SC2Replay
131,PtitDrogo,52,2050,P,1,replays/firstRun\0a3f679d3f764ba5bcace0cc212283f6.SC2Replay
132,Zanster,54,5600,Z,0,replays/firstRun\0a3f679d3f764ba5bcace0cc212283f6.SC2Replay
133,Semper,70,2800,T,1,replays/firstRun\0a4018f1fd1c4bbebe7ade69b266ad3e.SC2Replay
134,GAMETIME,68,4375,Z,0,replays/firstRun\0a4018f1fd1c4bbebe7ade69b266ad3e.SC2Replay
135,MaNa,68,1050,P,1,replays/firstRun\0a5d5a0d30434374a8b68439eb77e8e6.SC2Replay
136,Semper,53,2550,T,0,replays/firstRun\0a5d5a0d30434374a8b68439eb77e8e6.SC2Replay
137,Happy,50,5500,T,1,replays/firstRun\0a854a4e213c4aefbc29847a7a7e4154.SC2Replay
138,LiquidSnute,59,5650,Z,0,replays/firstRun\0a854a4e213c4aefbc29847a7a7e4154.SC2Replay
139,Serral,64,2375,Z,1,replays/firstRun\0a88e261c0b24c69aff1f4cc03c48ca3.SC2Replay
140,PiLiPiLi,60,875,P,0,replays/firstRun\0a88e261c0b24c69aff1f4cc03c48ca3.SC2Replay
141,LiquidMaNa,26,800,P,1,replays/firstRun\0a9d58a1fbdb4e0fbcb97c05931e702c.SC2Replay
142,PiLiPiLi,22,600,P,0,replays/firstRun\0a9d58a1fbdb4e0fbcb97c05931e702c.SC2Replay
143,Bunny,49,6250,T,0,replays/firstRun\0aaa41bfcbc842e0aa07d54903e047ac.SC2Replay
144,OGZest,67,2075,P,1,replays/firstRun\0aaa41bfcbc842e0aa07d54903e047ac.SC2Replay
145,Reynor,63,4175,Z,1,replays/firstRun\0ad6212af6f4421bb1a57416f5e18260.SC2Replay
146,TIME,55,3250,T,0,replays/firstRun\0ad6212af6f4421bb1a57416f5e18260.SC2Replay
147,Lambo,53,2600,Z,1,replays/firstRun\0af524f25d0e4b52bd627d174689901f.SC2Replay
148,Torkk,46,700,P,0,replays/firstRun\0af524f25d0e4b52bd627d174689901f.SC2Replay
149,Neeb,67,2150,P,1,replays/firstRun\0afe83b7e09c4dca8dbba36e6e9a26b0.SC2Replay
150,Reynor,63,4625,Z,0,replays/firstRun\0afe83b7e09c4dca8dbba36e6e9a26b0.SC2Replay
151,AdminA,52,875,P,1,replays/firstRun\0aff07944d6947278b242fbe4c5336c5.SC2Replay
152,ObiWanPwnobi,48,3825,P,0,replays/firstRun\0aff07944d6947278b242fbe4c5336c5.SC2Replay
153,Serral,80,8725,Z,1,replays/firstRun\0b0f556784fe4a3fa28de5e252f5685d.SC2Replay
154,MaNa,79,5425,P,0,replays/firstRun\0b0f556784fe4a3fa28de5e252f5685d.SC2Replay
155,Scarlett,68,3600,Z,0,replays/firstRun\0b1e09198950470dbaab56854929ac00.SC2Replay
156,Serral,68,3325,Z,1,replays/firstRun\0b1e09198950470dbaab56854929ac00.SC2Replay
157,Scarlett,24,650,Z,1,replays/firstRun\0b266ab152d046be92550a6df6df6aa0.SC2Replay
158,DnS,28,250,P,0,replays/firstRun\0b266ab152d046be92550a6df6df6aa0.SC2Replay
159,Cham,48,4725,Z,0,replays/firstRun\0b26e7b216f449bfb8735bc1f7beeadb.SC2Replay
160,PiLiPiLi,45,400,P,1,replays/firstRun\0b26e7b216f449bfb8735bc1f7beeadb.SC2Replay
161,Lambo,73,2725,Z,1,replays/firstRun\0b2926a7cdb146bba48e5176402d0790.SC2Replay
162,Bones,55,2225,P,0,replays/firstRun\0b2926a7cdb146bba48e5176402d0790.SC2Replay
163,DnS,70,5350,P,1,replays/firstRun\0b2e9b831cdf46859370954c55e258ed.SC2Replay
164,Zanster,76,8325,Z,0,replays/firstRun\0b2e9b831cdf46859370954c55e258ed.SC2Replay
165,Lambo,66,5675,Z,1,replays/firstRun\0b310b46c51b439da97779557703426e.SC2Replay
166,lllIIIIllll,61,1550,P,0,replays/firstRun\0b310b46c51b439da97779557703426e.SC2Replay
167,TYTY,42,1500,T,1,replays/firstRun\0b40bd2bdec9459a8f7e9153079c5f42.SC2Replay
168,Stats,48,650,P,0,replays/firstRun\0b40bd2bdec9459a8f7e9153079c5f42.SC2Replay
169,HeroMarine,81,7600,T,1,replays/firstRun\0b46816a2e5e4d518be0ddf2bae77fc8.SC2Replay
170,Reynor,81,11700,Z,0,replays/firstRun\0b46816a2e5e4d518be0ddf2bae77fc8.SC2Replay
171,Ziggy,23,500,T,1,replays/firstRun\0b643223129f45ecb5404f1ede4d3600.SC2Replay
172,Allaryce,21,700,Z,0,replays/firstRun\0b643223129f45ecb5404f1ede4d3600.SC2Replay
173,HuK,66,3825,P,1,replays/firstRun\0b72ed592d3e450f9ae225bd66ba9349.SC2Replay
174,PiG,81,7375,Z,0,replays/firstRun\0b72ed592d3e450f9ae225bd66ba9349.SC2Replay
175,TIME,26,1000,T,1,replays/firstRun\0ba886233be243c0be4c89073a24053e.SC2Replay
176,iGJim,36,750,P,0,replays/firstRun\0ba886233be243c0be4c89073a24053e.SC2Replay
177,Kelazhur,66,6200,T,1,replays/firstRun\0bae1323a48944abb93ea9bafc089bf3.SC2Replay
178,Nerchio,79,6650,Z,0,replays/firstRun\0bae1323a48944abb93ea9bafc089bf3.SC2Replay
179,Bails,35,1250,P,0,replays/firstRun\0bbceacbad5c45d29d7da553166c0576.SC2Replay
180,viOLet,44,1275,Z,1,replays/firstRun\0bbceacbad5c45d29d7da553166c0576.SC2Replay
181,Sen,74,9500,Z,1,replays/firstRun\0bf0faa7167640ab870cced41eec1d5f.SC2Replay
182,Rex,57,10300,Z,0,replays/firstRun\0bf0faa7167640ab870cced41eec1d5f.SC2Replay
183,GOStephano,48,2550,Z,1,replays/firstRun\0bf108f528dc41e19d0a3180e73e7464.SC2Replay
184,Clem,36,1200,T,0,replays/firstRun\0bf108f528dc41e19d0a3180e73e7464.SC2Replay
185,Bly,72,7675,Z,1,replays/firstRun\0c1b809041c84eaeadbc577fa77dd088.SC2Replay
186,DeMusliM,60,5675,T,0,replays/firstRun\0c1b809041c84eaeadbc577fa77dd088.SC2Replay
187,Elazer,53,5675,Z,1,replays/firstRun\0c28621f56e645069d007f4fec9eda07.SC2Replay
188,MacSed,60,1625,P,0,replays/firstRun\0c28621f56e645069d007f4fec9eda07.SC2Replay
189,Serral,26,850,Z,1,replays/firstRun\0c2a28b6e7f44a7c96723532ad582aa8.SC2Replay
190,Elazer,14,1350,Z,0,replays/firstRun\0c2a28b6e7f44a7c96723532ad582aa8.SC2Replay
191,Kozan,50,2600,T,0,replays/firstRun\0c2c2182c5b94ad6b41d0c7a1e4e99e6.SC2Replay
192,Stephano,56,4325,Z,1,replays/firstRun\0c2c2182c5b94ad6b41d0c7a1e4e99e6.SC2Replay
193,Nerchio,63,8750,Z,1,replays/firstRun\0c33faac26dc4d77a943d39face7aa6c.SC2Replay
194,HuK,63,3300,P,0,replays/firstRun\0c33faac26dc4d77a943d39face7aa6c.SC2Replay
195,Scarlett,59,3100,Z,0,replays/firstRun\0c4684f2ad5c453d9b76f535acce69de.SC2Replay
196,Serral,68,3525,Z,1,replays/firstRun\0c4684f2ad5c453d9b76f535acce69de.SC2Replay
197,Neeb,39,1475,P,0,replays/firstRun\0c5ec7ef37ff435884bcb01d294e0baa.SC2Replay
198,Semper,45,1700,T,1,replays/firstRun\0c5ec7ef37ff435884bcb01d294e0baa.SC2Replay
199,Warren,46,2450,Z,0,replays/firstRun\0c68c1b99c6346039c3900c63ca8ba42.SC2Replay
200,FeaR,51,650,P,1,replays/firstRun\0c68c1b99c6346039c3900c63ca8ba42.SC2Replay
201,SouLeer,60,4650,Z,0,replays/firstRun\0c75f3c15b7542d8b4098973f3a05f5c.SC2Replay
202,llllllllllll,56,1550,P,1,replays/firstRun\0c75f3c15b7542d8b4098973f3a05f5c.SC2Replay
203,Zest,65,5550,P,0,replays/firstRun\0c82bae763c14d4c82649074195f5b9f.SC2Replay
204,Solar,67,10200,Z,1,replays/firstRun\0c82bae763c14d4c82649074195f5b9f.SC2Replay
205,MaSa,20,200,T,1,replays/firstRun\0c836ca5710a47cfb8c58eb6f9690753.SC2Replay
206,SirRobin,21,200,Z,0,replays/firstRun\0c836ca5710a47cfb8c58eb6f9690753.SC2Replay
207,CMStormPolt,41,2250,T,1,replays/firstRun\0c9cc58ddec647d190f7f39c706b8c96.SC2Replay
208,viOLet,54,4300,Z,0,replays/firstRun\0c9cc58ddec647d190f7f39c706b8c96.SC2Replay
209,Ziggy,50,4050,T,0,replays/firstRun\0c9fb18d1c914bc6bf75146063b43506.SC2Replay
210,Zanster,68,6800,Z,1,replays/firstRun\0c9fb18d1c914bc6bf75146063b43506.SC2Replay
211,Hymy,75,3125,P,1,replays/firstRun\0ca04ff7659941b19c2d647d393d0a52.SC2Replay
212,ZergGirl,82,9075,Z,0,replays/firstRun\0ca04ff7659941b19c2d647d393d0a52.SC2Replay
213,puCK,56,1075,P,1,replays/firstRun\0cbd28b4a7994958809e14e72f9f03d2.SC2Replay
214,MaSa,51,4875,T,0,replays/firstRun\0cbd28b4a7994958809e14e72f9f03d2.SC2Replay
215,DnS,29,525,P,1,replays/firstRun\0cc3a0a45d9d4d7982241f86f57b0192.SC2Replay
216,Future,26,450,T,0,replays/firstRun\0cc3a0a45d9d4d7982241f86f57b0192.SC2Replay
217,uThermal,67,1650,T,1,replays/firstRun\0ccd5ece04df40909c045bf854251e62.SC2Replay
218,Nerchio,68,3250,Z,0,replays/firstRun\0ccd5ece04df40909c045bf854251e62.SC2Replay
219,Harstem,77,1625,P,1,replays/firstRun\0cd9a7425f2546eba57471bb1091b083.SC2Replay
220,GOStephano,64,9075,Z,0,replays/firstRun\0cd9a7425f2546eba57471bb1091b083.SC2Replay
221,liquidthermy,41,1650,T,1,replays/firstRun\0cddc0a09fe04d0b8de5f19ba922474f.SC2Replay
222,RlSky,52,2475,Z,0,replays/firstRun\0cddc0a09fe04d0b8de5f19ba922474f.SC2Replay
223,LiquidSnute,49,1900,Z,0,replays/firstRun\0ced84a2f50a46fda611f657ae8a6723.SC2Replay
224,FanTaSy,40,1500,T,1,replays/firstRun\0ced84a2f50a46fda611f657ae8a6723.SC2Replay
225,Bly,70,4500,Z,0,replays/firstRun\0cf9fe5c2a6349d4ac669583532a6e26.SC2Replay
226,SpeCial,67,4350,T,1,replays/firstRun\0cf9fe5c2a6349d4ac669583532a6e26.SC2Replay
227,TRUE,58,4925,Z,0,replays/firstRun\0d0465cd596544d2bd79e5dbbefd410a.SC2Replay
228,PiLiPiLi,48,1650,P,1,replays/firstRun\0d0465cd596544d2bd79e5dbbefd410a.SC2Replay
229,Kelazhur,60,3300,T,1,replays/firstRun\0d1eabc153d044009d80f17c4341b8ff.SC2Replay
230,Bistork,58,3200,P,0,replays/firstRun\0d1eabc153d044009d80f17c4341b8ff.SC2Replay
231,aLive,55,2450,T,1,replays/firstRun\0d2918aed9ea41edb56740fdddf5a392.SC2Replay
232,Stats,61,2375,P,0,replays/firstRun\0d2918aed9ea41edb56740fdddf5a392.SC2Replay
233,PtitDrogo,47,1925,P,1,replays/firstRun\0d2ce362692c437d96b7855e7c638d62.SC2Replay
234,Creature,46,1775,P,0,replays/firstRun\0d2ce362692c437d96b7855e7c638d62.SC2Replay
235,Solar,50,1625,Z,1,replays/firstRun\0d3265503b894f6cb9fe69fea7b834f7.SC2Replay
236,Snute,37,1650,Z,0,replays/firstRun\0d3265503b894f6cb9fe69fea7b834f7.SC2Replay
237,BAILS,43,1900,P,0,replays/firstRun\0d5fe948df28477baea2253d9240af64.SC2Replay
238,Harstem,43,1900,P,1,replays/firstRun\0d5fe948df28477baea2253d9240af64.SC2Replay
239,Neeb,35,425,P,0,replays/firstRun\0d72a5498e2f4b509bd494a0e35a78b8.SC2Replay
240,Semper,29,550,T,1,replays/firstRun\0d72a5498e2f4b509bd494a0e35a78b8.SC2Replay
241,Kelazhur,33,1850,T,1,replays/firstRun\0d7dd4924c304393b3d1c05ce25a02d9.SC2Replay
242,Optimus,29,1775,T,0,replays/firstRun\0d7dd4924c304393b3d1c05ce25a02d9.SC2Replay
243,iaguz,42,1175,T,0,replays/firstRun\0d89d0b8db504a9284dc966f39227ed8.SC2Replay
244,TooDming,53,3175,Z,1,replays/firstRun\0d89d0b8db504a9284dc966f39227ed8.SC2Replay
245,JJAKJI,28,750,T,1,replays/firstRun\0d940d9f79c74c0490e59b289e01f3e7.SC2Replay
246,PtitDrogo,25,575,P,0,replays/firstRun\0d940d9f79c74c0490e59b289e01f3e7.SC2Replay
247,RAIL,36,725,P,0,replays/firstRun\0d94a3d70d1c43398a5a716947816ccc.SC2Replay
248,INnoVation,32,500,T,1,replays/firstRun\0d94a3d70d1c43398a5a716947816ccc.SC2Replay
249,Solar,62,10600,Z,1,replays/firstRun\0dd49187d0e2460d950aa164b407dad0.SC2Replay
250,LiquidSnute,55,10400,Z,0,replays/firstRun\0dd49187d0e2460d950aa164b407dad0.SC2Replay
251,SpeCial,52,2700,T,1,replays/firstRun\0df45e484df145619517cd9c2f9c7ce8.SC2Replay
252,Pokebunny,46,2225,T,0,replays/firstRun\0df45e484df145619517cd9c2f9c7ce8.SC2Replay
253,ByuN,47,2450,T,1,replays/firstRun\0dffaad1493241d3a281cbd1085c3bb6.SC2Replay
254,Soulkey,52,2050,Z,0,replays/firstRun\0dffaad1493241d3a281cbd1085c3bb6.SC2Replay
255,HuT,44,1450,T,1,replays/firstRun\0e2338c624454da8b5e2c801f71ff31f.SC2Replay
256,JonSnow,48,2550,Z,0,replays/firstRun\0e2338c624454da8b5e2c801f71ff31f.SC2Replay
257,HeroMarine,71,5800,T,0,replays/firstRun\0e24123d059c4f6ab4c4455d2e6bfeb3.SC2Replay
258,OGZest,72,2225,P,1,replays/firstRun\0e24123d059c4f6ab4c4455d2e6bfeb3.SC2Replay
259,LiquidSnute,53,9125,Z,1,replays/firstRun\0e2710bb268c4bb885039ade0d9ee418.SC2Replay
260,Serral,52,6300,Z,0,replays/firstRun\0e2710bb268c4bb885039ade0d9ee418.SC2Replay
261,ShoWTimE,46,2675,P,0,replays/firstRun\0e30458f045c4b169de43b64457fb061.SC2Replay
262,HellraiseR,47,650,P,1,replays/firstRun\0e30458f045c4b169de43b64457fb061.SC2Replay
263,aLive,53,3350,T,0,replays/firstRun\0e36f4a6e32641d28fcd3d12e1b956d8.SC2Replay
264,Stats,61,900,P,1,replays/firstRun\0e36f4a6e32641d28fcd3d12e1b956d8.SC2Replay
265,Lighting,25,2075,P,0,replays/firstRun\0e5d574f4b87421e801df5b16871054f.SC2Replay
266,Kozan,37,2675,T,1,replays/firstRun\0e5d574f4b87421e801df5b16871054f.SC2Replay
267,Nerchio,49,1450,Z,0,replays/firstRun\0e6587432a264f3896bf58571a786429.SC2Replay
268,Neeb,46,850,P,1,replays/firstRun\0e6587432a264f3896bf58571a786429.SC2Replay
269,Scarlett,20,900,Z,1,replays/firstRun\0e9e1d7f37444acb8bd7ab63e7e5c757.SC2Replay
270,DnS,28,175,P,0,replays/firstRun\0e9e1d7f37444acb8bd7ab63e7e5c757.SC2Replay
271,PtitDrogo,53,1000,P,0,replays/firstRun\0ebaad07a1bc477aa4b5f5d8bd1672c2.SC2Replay
272,soO,51,2125,Z,1,replays/firstRun\0ebaad07a1bc477aa4b5f5d8bd1672c2.SC2Replay
273,State,45,2875,P,1,replays/firstRun\0f15df14030a4c1c877299cec2ae5dff.SC2Replay
274,intense,50,1950,T,0,replays/firstRun\0f15df14030a4c1c877299cec2ae5dff.SC2Replay
275,Dark,50,5450,Z,1,replays/firstRun\0f253a827e5040928bc8f80d8d739d3c.SC2Replay
276,Drager,45,1200,P,0,replays/firstRun\0f253a827e5040928bc8f80d8d739d3c.SC2Replay
277,Neeb,34,375,P,0,replays/firstRun\0f63238637cf4e3a9acd52fae8a5076d.SC2Replay
278,SpeCial,28,400,T,1,replays/firstRun\0f63238637cf4e3a9acd52fae8a5076d.SC2Replay
279,Harstem,71,1950,P,0,replays/firstRun\0f671bd021f647ee9119c84582e19e53.SC2Replay
280,Serral,78,6800,Z,1,replays/firstRun\0f671bd021f647ee9119c84582e19e53.SC2Replay
281,Serral,57,10525,Z,1,replays/firstRun\0f6b288e431a4ac5a2f68eb9a66935ac.SC2Replay
282,soO,56,10750,Z,0,replays/firstRun\0f6b288e431a4ac5a2f68eb9a66935ac.SC2Replay
283,DisK,44,800,P,1,replays/firstRun\0f8e0e316059402da1f06b9c18c17904.SC2Replay
284,Mackintac,42,4300,Z,0,replays/firstRun\0f8e0e316059402da1f06b9c18c17904.SC2Replay
285,LiquidMaNa,38,825,P,1,replays/firstRun\0f8f0d8b7ba743018f419886c7493ebf.SC2Replay
286,Optimus,31,800,T,0,replays/firstRun\0f8f0d8b7ba743018f419886c7493ebf.SC2Replay
287,TLO,27,2600,Z,0,replays/firstRun\0f9b3a5f1c684978a107ffade17db211.SC2Replay
288,Has,30,550,P,1,replays/firstRun\0f9b3a5f1c684978a107ffade17db211.SC2Replay
289,soO,62,9625,Z,1,replays/firstRun\0fa0051b34c644df96fefd062fb0c3f8.SC2Replay
290,Solar,64,9750,Z,0,replays/firstRun\0fa0051b34c644df96fefd062fb0c3f8.SC2Replay
291,HuT,43,2675,T,0,replays/firstRun\0fcf5996c8bc4ff9a71622c69c102a84.SC2Replay
292,JonSnow,69,5075,Z,1,replays/firstRun\0fcf5996c8bc4ff9a71622c69c102a84.SC2Replay
293,Elazer,61,6025,Z,1,replays/firstRun\0fd474797c424ccdb4df3cec2c123623.SC2Replay
294,Patience,50,875,P,0,replays/firstRun\0fd474797c424ccdb4df3cec2c123623.SC2Replay
295,souL,71,4025,T,0,replays/firstRun\0fdee4637dbb4a17acbc3e9835d8b534.SC2Replay
296,Elazer,75,6825,Z,1,replays/firstRun\0fdee4637dbb4a17acbc3e9835d8b534.SC2Replay
297,niceq,28,1000,T,0,replays/firstRun\0fe2a96b84dc42e5bf901ad67a985d8a.SC2Replay
298,Malcolm,19,1850,Z,1,replays/firstRun\0fe2a96b84dc42e5bf901ad67a985d8a.SC2Replay
299,Harstem,46,725,P,0,replays/firstRun\0ff657183bb34150854ecfe655e38b86.SC2Replay
300,AxImpact,56,2150,Z,1,replays/firstRun\0ff657183bb34150854ecfe655e38b86.SC2Replay
301,SortOf,35,1600,Z,0,replays/firstRun\1a0af55adcb744e3968663a465c3aaf9.SC2Replay
302,Serral,32,1375,Z,1,replays/firstRun\1a0af55adcb744e3968663a465c3aaf9.SC2Replay
303,Serral,19,300,Z,0,replays/firstRun\1a207e2a9b944560866da53d93fa0674.SC2Replay
304,Lambo,15,700,Z,1,replays/firstRun\1a207e2a9b944560866da53d93fa0674.SC2Replay
305,Neeb,73,1775,P,1,replays/firstRun\1a34503018584dc491ca05c23b419496.SC2Replay
306,soul,60,4350,T,0,replays/firstRun\1a34503018584dc491ca05c23b419496.SC2Replay
307,MightyKiwi,58,5325,Z,1,replays/firstRun\1a41695c48884c1dbc9ea046f30474aa.SC2Replay
308,BackupA,56,400,P,0,replays/firstRun\1a41695c48884c1dbc9ea046f30474aa.SC2Replay
309,LiquidSnute,12,100,Z,1,replays/firstRun\1a4e4b267724440bab882e528599274a.SC2Replay
310,NWDragon,12,0,T,0,replays/firstRun\1a4e4b267724440bab882e528599274a.SC2Replay
311,Words,53,2725,T,0,replays/firstRun\1a82d49d66144262bbccfb5f007d2ab8.SC2Replay
312,SirRobin,74,3975,Z,1,replays/firstRun\1a82d49d66144262bbccfb5f007d2ab8.SC2Replay
313,Dayshi,57,4625,T,1,replays/firstRun\1abd993aa5f64dd89521a9773324afa5.SC2Replay
314,PiLiPiLi,57,1450,P,0,replays/firstRun\1abd993aa5f64dd89521a9773324afa5.SC2Replay
315,GOStephano,61,9650,Z,0,replays/firstRun\1ac58291062747979a6a61389e275401.SC2Replay
316,HellraiseR,70,2875,P,1,replays/firstRun\1ac58291062747979a6a61389e275401.SC2Replay
317,iGMacSed,51,1100,P,0,replays/firstRun\1acd1cdf09e84c899e76c7fd768f470f.SC2Replay
318,Scarlett,65,2475,Z,1,replays/firstRun\1acd1cdf09e84c899e76c7fd768f470f.SC2Replay
319,Neeb,42,475,P,0,replays/firstRun\1b10b8bc328b4811813d5e01eaceb60b.SC2Replay
320,uThermal,47,650,T,1,replays/firstRun\1b10b8bc328b4811813d5e01eaceb60b.SC2Replay
321,HeltEn,40,1500,T,1,replays/firstRun\1b19043758be42e3bf256c1d03061f22.SC2Replay
322,FoolOfaTook,44,2500,Z,0,replays/firstRun\1b19043758be42e3bf256c1d03061f22.SC2Replay
323,Nerchio,37,3800,Z,1,replays/firstRun\1b2d40bd7b9d4212a92a8638ee354745.SC2Replay
324,Zanster,27,2200,Z,0,replays/firstRun\1b2d40bd7b9d4212a92a8638ee354745.SC2Replay
325,Harstem,50,1425,P,1,replays/firstRun\1b3761cc7d6c404e9edc35124e98a834.SC2Replay
326,CatZ,48,2300,Z,0,replays/firstRun\1b3761cc7d6c404e9edc35124e98a834.SC2Replay
327,uThermal,61,3150,T,1,replays/firstRun\1b66d949d82c4ff5a456cc93b9d221e6.SC2Replay
328,ShoWTimE,59,1575,P,0,replays/firstRun\1b66d949d82c4ff5a456cc93b9d221e6.SC2Replay
329,Raze,60,1400,P,0,replays/firstRun\1bbda6cb66474f16990ca37274f4e94e.SC2Replay
330,Clem,46,3050,T,1,replays/firstRun\1bbda6cb66474f16990ca37274f4e94e.SC2Replay
331,GOStephano,43,9750,Z,0,replays/firstRun\1c0ec352f911417dae4122ba79d55af6.SC2Replay
332,Lambo,47,10850,Z,1,replays/firstRun\1c0ec352f911417dae4122ba79d55af6.SC2Replay
333,PtitDrogo,20,0,P,0,replays/firstRun\1c4d9cf9acc342e59425bafc68fa1a85.SC2Replay
