,player,total_workers,total_marines
279,ShoWTimE,56,5
280,DnS,48,8
281,Probe,50,8
282,Harstem,29,7
283,uThermal,9,11
284,JonSnow,23,135
285,Elazer,14,132
286,Patience,46,12
287,HellraiseR,-15,4
288,Gauss,29,9
289,Zanster,27,46
290,iaguz,42,43
291,Nerchio,61,45
292,Mana,35,8
293,llllllllllll,34,9
294,Namshar,66,42
295,Serral,54,90
296,Guru,53,73
297,Rose,45,81
298,TRUE,26,69
299,DnS,-3,5
300,iGiA,56,65
301,Rhizer,33,9
302,puCK,45,6
303,Patience,31,8
304,Stats,0,5
305,TRUE,-13,52
306,Toodming,21,51
307,aLive,42,40
308,StevenBonnel,53,8
309,MacSed,50,12
310,puCK,36,9
311,Namshar,61,87
312,MMA,53,34
313,uThermal,-12,10
314,TRUE,47,38
315,MeomaikA,42,89
316,TYTY,42,35
317,Namshar,65,80
318,Solar,41,66
319,Bails,51,14
320,Hydra,41,58
321,SpeCial,44,38
322,MaNa,51,5
323,sOs,50,8
324,uThermal,59,34
325,Harstem,28,6
326,Bunny,44,35
327,Cham,28,87
328,SortOf,49,44
329,INnoVation,5,6
330,Zest,9,9
331,Nerchio,37,53
332,JonSnow,-3,110
333,Nerchio,50,51
334,ShaDoWn,22,4
335,Ninja,20,9
336,Snute,52,75
337,Time,40,24
338,DnS,38,9
