,player,total_workers,total_army_value,total_army,fraction,winner,replay_filename
0,Solar,82,10650,211,Z,1,replays/testRun\9cd1f311dd434d66b77d069a8e3e73c3.SC2Replay
1,Bunny,82,6425,140,T,0,replays/testRun\9cd1f311dd434d66b77d069a8e3e73c3.SC2Replay
2,DnS,60,775,80,P,0,replays/testRun\9cd5815fee8b4df88d292411de6a8fff.SC2Replay
3,Serral,66,3925,167,Z,1,replays/testRun\9cd5815fee8b4df88d292411de6a8fff.SC2Replay
4,llllllllllll,28,850,48,P,1,replays/testRun\9ce2640561134c37812a29e87e443a0f.SC2Replay
5,liquidthermy,26,200,44,T,0,replays/testRun\9ce2640561134c37812a29e87e443a0f.SC2Replay
