,player,total_workers,total_army
532,Snute,36,2150
533,MeomaikA,70,9050
534,iAsonu,63,1975
535,Namshar,71,8425
536,LiquidTLO,46,1850
537,soO,63,4100
538,LiquidSnute,44,1200
539,Zanster,34,1800
540,Guru,40,2375
541,Scarlett,35,1600
542,iGXiGua,26,800
543,ZooWhaleTail,29,900
544,Nerchio,70,7400
545,YouRush,78,4550
546,miwa,25,1250
547,LiquidSnute,76,3075
548,Dana,62,5900
549,GogojOey,67,1975
550,GogojOey,24,1000
551,Zanster,71,3450
552,Elazer,58,2675
553,Zanster,66,3500
554,GOStephano,31,7825
555,MightyKiwi,64,12125
556,soO,65,9825
557,Serral,68,10150
558,JonSnow,40,3100
559,PiG,39,4900
560,Lambo,34,2150
561,SouLeer,28,2625
562,Oobios,42,1700
563,eonblu,67,5300
564,Guru,76,9900
565,Scarlett,64,10350
566,Silky,78,10525
567,TRUE,57,2525
568,TLO,45,5875
569,JonSnow,68,3550
570,KingkOng,46,2825
571,SouLeer,67,6050
572,viOLet,65,13050
573,Silky,69,5400
574,Namshar,68,3725
575,Mackintac,74,13050
576,Reynor,64,3200
577,iGMacSed,47,1200
578,Namshar,25,1250
579,CalebAracous,78,5950
580,TestingThree,14,1400
581,GOStephano,66,5450
582,EnDerr,44,2300
583,Namshar,27,900
584,GAMETIME,17,1475
585,Lambo,49,4175
586,GOStephano,77,9025
587,soO,66,9025
588,Zanster,31,1600
589,Lambo,33,1575
590,LiquidTLO,22,1375
591,SouLeer,15,1200
592,Reynor,86,6850
593,SLeet,12,100
594,Silky,52,3625
595,Snute,24,3900
596,Zanster,47,7300
597,ZhuGeLiang,32,1050
598,Lambo,46,7700
599,Fist,37,1800
600,Reynor,86,11850
601,Serral,74,3175
602,Solar,85,10425
603,Snute,62,1525
604,Reynor,58,2100
605,Stephano,17,650
606,SortOf,81,10000
607,Crimson,56,2325
608,Nerchio,58,8400
609,SortOf,66,11150
610,Bly,20,650
611,Snute,18,650
612,Lambo,19,450
613,Lambo,82,11175
614,Crow,34,1775
615,NoRegreT,23,2075
616,viOLet,51,4950
617,SortOf,42,1200
618,Elazer,41,2125
619,Zanster,49,1450
620,SortOf,14,1200
621,Snute,42,1750
622,LiquidSnute,79,6925
623,Reynor,61,10450
624,Erik,54,6325
625,LiquidSnute,77,10300
626,BLY,69,10350
627,SortOf,74,9400
628,Solar,68,4525
629,soO,37,3350
630,Crimson,47,3475
631,诡丶计,59,1975
632,ByRada,21,2225
633,SortOf,50,5200
634,Namshar,67,3350
635,Petraeus,82,5050
636,aAaMiNiMaTh,33,1075
637,Serral,57,3200
638,GogojOey,37,1200
639,Zanster,74,8950
640,iGXiGua,69,5525
641,Elazer,64,5050
642,Snute,20,1150
643,Scarlett,59,4500
644,Namshar,86,5500
645,Petraeus,38,3250
646,PiG,37,2900
647,LiquidTLO,78,9850
648,MightyKiwi,55,9450
649,PandaBearMe,56,6400
650,Nerchio,73,5650
651,Scarlett,66,8550
652,Dana,67,4850
653,AxImpact,66,7875
654,Guru,36,2150
655,soO,35,1125
656,Zanster,21,850
657,TLO,27,1300
658,JonSnow,37,2025
659,Zanster,50,1800
660,ZenedoR,53,2825
661,Soulkey,79,4700
662,GOStephano,59,6425
663,Pono,19,800
664,benttwig,21,600
665,Crow,27,1425
666,NoRegreT,23,1100
667,LiquidSnute,57,2175
668,TLO,70,7025
669,Denver,62,8050
670,Stephano,64,6550
671,hydra,81,5275
672,Snute,39,2950
673,Elazer,27,3450
674,Elazer,70,9200
675,Serral,19,1525
676,Nerchio,24,1200
677,SortOf,41,1700
678,Zanster,30,2475
679,Elazer,47,2225
680,TSGSolar,36,3950
681,TRUE,65,7775
682,Nerchio,65,7400
683,LiquidSnute,75,5225
684,Serral,75,11325
685,Lambo,40,1950
686,Elroye,41,2200
687,GOStephano,50,3850
688,ParanOid,68,7250
689,Neuro,56,2425
690,Stephano,56,4325
691,Namshar,68,2525
692,Denver,56,2175
693,Pono,34,750
694,SouLeer,25,1350
695,SortOf,55,8100
696,RlSky,66,11175
697,EnvyusViolet,44,2250
698,iGXiGua,37,2825
699,TLO,21,200
700,Serral,81,5925
701,AxImpact,62,10925
702,SortOf,77,5650
703,Erik,50,2950
704,Cham,40,3050
705,GOStephano,16,700
706,Bly,18,400
707,SortOf,63,3775
708,soO,75,5850
709,JimRising,35,2450
710,daydrA,37,1575
711,Nistic,26,1625
712,TLO,53,2550
713,Bly,21,575
714,EnDerr,13,600
715,Namshar,48,1250
716,Elazer,53,1300
717,Oobios,12,100
718,iGiA,48,3100
719,Scarlett,60,1975
720,Lambo,66,6700
721,soO,63,8225
722,Snute,63,16650
723,Serral,67,1975
724,Rose,18,500
725,Fist,14,800
726,McMonroe,67,4400
727,Hydra,14,750
728,Elazer,21,350
729,Elazer,61,2000
730,PiG,60,2000
731,MightyKiwi,44,3100
732,Scarlett,61,8025
733,Serral,67,7375
734,Serral,12,100
735,TRUE,57,10875
736,Lambo,89,9850
737,Reynor,47,1300
738,ViBE,55,2200
739,Snute,76,8300
740,MightyKiwi,36,1875
741,ZergGirl,22,1825
742,Dark,78,12675
