,player,total_workers,resource_mining,total_army_value,total_army,supply,time,fraction,winner,replay_filename
7822,Ziggy,41,9173,1400,21.0,78.0,435,Terraner,0,replays/all\9dde3c92cdf047d9bbc95b9687b7927f.SC2Replay
7823,PtitDrogo,51,11972,400,5.0,93.0,468,Protoss,1,replays/all\9dde3c92cdf047d9bbc95b9687b7927f.SC2Replay
7824,Harstem,80,38774,2975,32.0,196.0,860,Protoss,1,replays/all\9dea56eac3b747dd8f4cdbf13d054f6e.SC2Replay
7825,JonSnow,80,43555,12275,114.5,200.0,868,Zerg,0,replays/all\9dea56eac3b747dd8f4cdbf13d054f6e.SC2Replay
7826,PiLiPiLi,59,14923,2625,25.0,117.0,593,Protoss,1,replays/all\9e0d480140414fef84d592ca648d2aa0.SC2Replay
7827,Dayshi,42,11852,2950,46.0,94.0,590,Terraner,0,replays/all\9e0d480140414fef84d592ca648d2aa0.SC2Replay
7828,Solar,44,9018,2825,28.5,76.0,528,Zerg,0,replays/all\9e20d17fff124bc8a992877d06bdc60b.SC2Replay
7829,Snute,42,12431,3025,35.5,84.0,531,Zerg,1,replays/all\9e20d17fff124bc8a992877d06bdc60b.SC2Replay
7830,soul,51,61908,6150,86.0,173.0,1342,Terraner,1,replays/all\9e3015756a844dcaaef6e27a2e26d294.SC2Replay
7831,Rail,56,24127,975,11.0,133.0,770,Protoss,0,replays/all\9e3015756a844dcaaef6e27a2e26d294.SC2Replay
7832,MaSa,24,4993,800,8.0,63.0,400,Terraner,1,replays/all\9e3af20db3c5421590500debfa5befa6.SC2Replay
7833,ViBE,21,9053,1550,17.0,46.0,405,Zerg,0,replays/all\9e3af20db3c5421590500debfa5befa6.SC2Replay
7834,iAsonu,52,13530,2625,24.5,98.0,495,Zerg,1,replays/all\9e43020225954a84ae4a4a54a803edac.SC2Replay
7835,Ryu,45,10187,2675,24.5,98.0,490,Zerg,0,replays/all\9e43020225954a84ae4a4a54a803edac.SC2Replay
7836,Scarlett,85,69351,9225,97.5,200.0,944,Zerg,0,replays/all\9e4781d400394e22ab8ab2ccfc48470d.SC2Replay
7837,Cyan,77,59289,4325,47.0,200.0,1095,Protoss,1,replays/all\9e4781d400394e22ab8ab2ccfc48470d.SC2Replay
7838,Kelazhur,66,23226,2950,41.0,125.0,639,Terraner,1,replays/all\9e541c878b564503881c7cc356fb0155.SC2Replay
7839,Cham,79,22949,4600,45.0,128.0,639,Zerg,0,replays/all\9e541c878b564503881c7cc356fb0155.SC2Replay
7840,Neeb,59,13499,425,5.0,101.0,617,Protoss,0,replays/all\9e568bd7f9d049348e1e9be45986520e.SC2Replay
7841,Special,51,14351,3350,47.0,118.0,618,Terraner,1,replays/all\9e568bd7f9d049348e1e9be45986520e.SC2Replay
7842,Dark,68,28089,9150,112.0,200.0,706,Zerg,0,replays/all\9e6bb95dd66645d693e36e74c199fc59.SC2Replay
7843,Reynor,89,28266,4975,49.5,168.0,672,Zerg,1,replays/all\9e6bb95dd66645d693e36e74c199fc59.SC2Replay
7844,Zest,29,4443,425,6.0,54.0,279,Protoss,0,replays/all\9e94c0a3930d484896f46723d4420a55.SC2Replay
7845,Cure,27,5487,400,8.0,46.0,286,Terraner,1,replays/all\9e94c0a3930d484896f46723d4420a55.SC2Replay
7846,EnDerr,69,19277,1850,12.0,98.0,502,Zerg,0,replays/all\9e97363379054171b18042edfff71727.SC2Replay
7847,Hydra,61,19513,2375,17.5,114.0,500,Zerg,1,replays/all\9e97363379054171b18042edfff71727.SC2Replay
7848,TLO,51,13147,3150,32.0,106.0,601,Zerg,1,replays/all\9e99fec95ccc411c97bf73b8cd6e54d6.SC2Replay
7849,Bistork,42,17034,1575,20.0,86.0,582,Protoss,0,replays/all\9e99fec95ccc411c97bf73b8cd6e54d6.SC2Replay
7850,Raze,64,29296,4925,78.0,141.0,833,Terraner,0,replays/all\9e9b22fdeb744d0a823c76d4f4836833.SC2Replay
7851,Probe,63,32519,2550,27.0,173.0,840,Protoss,1,replays/all\9e9b22fdeb744d0a823c76d4f4836833.SC2Replay
7852,Namshar,70,70800,10625,121.5,190.0,1040,Zerg,0,replays/all\9eade6220043427da46be937175249ae.SC2Replay
7853,Probe,68,75308,5350,61.0,188.0,1036,Protoss,1,replays/all\9eade6220043427da46be937175249ae.SC2Replay
7854,FanTaSy,69,45957,7325,106.0,200.0,935,Terraner,0,replays/all\9eb9b52eca84473092e25187d7fcf56e.SC2Replay
7855,LiquidMaNa,73,58641,2850,33.0,165.0,1029,Protoss,1,replays/all\9eb9b52eca84473092e25187d7fcf56e.SC2Replay
7856,Elazer,44,15631,5250,64.0,138.0,681,Zerg,1,replays/all\9ebf9c15d4d04a0dbea77744d32bf0e8.SC2Replay
7857,Zanster,42,12590,3250,35.0,84.0,565,Zerg,0,replays/all\9ebf9c15d4d04a0dbea77744d32bf0e8.SC2Replay
7858,iGMacSed,45,11245,2125,19.0,78.0,500,Protoss,1,replays/all\9ec1053e8f184c219a775e7792c052a4.SC2Replay
7859,Seventy,39,19025,725,8.0,70.0,517,Protoss,0,replays/all\9ec1053e8f184c219a775e7792c052a4.SC2Replay
7860,Serral,77,26022,4925,43.5,152.0,729,Zerg,1,replays/all\9ec2ab834a9d475385980b9513c96b8a.SC2Replay
7861,TYTY,67,17853,3725,56.0,181.0,729,Terraner,0,replays/all\9ec2ab834a9d475385980b9513c96b8a.SC2Replay
7862,PiG,65,36453,6625,68.5,160.0,863,Zerg,1,replays/all\9ec78d5374334225a2851cc45dcab5b1.SC2Replay
7863,NoPinSea,54,31287,2350,23.0,117.0,858,Protoss,0,replays/all\9ec78d5374334225a2851cc45dcab5b1.SC2Replay
7864,Geralt,25,2682,125,2.0,31.0,218,Protoss,0,replays/all\9ec83471e9e64cdb8ea6dbb08118bbd2.SC2Replay
