,player,total_workers,resource_mining,total_army_value,total_army,time,fraction,winner,replay_filename
0,HeroMarine,26,4439,300,3,254,T,0,replays/2ndRun\008ec6a2ed6040388074d60d9414aec3.SC2Replay
1,TYTY,24,3757,100,1,232,T,1,replays/2ndRun\008ec6a2ed6040388074d60d9414aec3.SC2Replay
2,viOLet,62,21694,6650,61,695,Z,1,replays/2ndRun\009b567c50e1468ca20af4aa3726f6bd.SC2Replay
3,MarineLorD,68,21293,3225,46,688,T,0,replays/2ndRun\009b567c50e1468ca20af4aa3726f6bd.SC2Replay
4,Pokebunny,64,26976,2500,32,687,T,0,replays/2ndRun\05a19cd09aab4a389dacb48bf54bd4dc.SC2Replay
5,TLO,73,33372,5625,95,687,Z,1,replays/2ndRun\05a19cd09aab4a389dacb48bf54bd4dc.SC2Replay
6,Lambo,75,14727,2775,35,548,Z,1,replays/2ndRun\05a783f074e246a5ae63576e57f76594.SC2Replay
7,Kelazhur,51,14722,2150,16,548,T,0,replays/2ndRun\05a783f074e246a5ae63576e57f76594.SC2Replay
8,MaSa,72,26796,3800,50,775,T,0,replays/2ndRun\05aa5e62b1964a64885bd16e796adca2.SC2Replay
9,TRUE,74,36853,8000,121,830,Z,1,replays/2ndRun\05aa5e62b1964a64885bd16e796adca2.SC2Replay
10,LiquidTLO,12,100,0,0,0,T,1,replays/2ndRun\05d0fcc8138d442cac40d973e02a44f3.SC2Replay
11,iGiA,69,23609,6925,94,662,Z,1,replays/2ndRun\05dc47294dda49bfa6da51af9f1e8276.SC2Replay
12,Gentleprobe,68,23670,2800,13,610,P,0,replays/2ndRun\05dc47294dda49bfa6da51af9f1e8276.SC2Replay
13,ShoWTimE,58,19588,2200,9,712,P,0,replays/2ndRun\05e16d0dd8e4465387bd244dffb71896.SC2Replay
14,Stats,57,36265,2100,10,782,P,1,replays/2ndRun\05e16d0dd8e4465387bd244dffb71896.SC2Replay
15,soul,71,22096,4900,46,745,T,0,replays/2ndRun\05efd230cd3e4cb9b0274ece02c61342.SC2Replay
16,OGZest,72,32056,1700,7,735,P,1,replays/2ndRun\05efd230cd3e4cb9b0274ece02c61342.SC2Replay
17,GOStephano,68,17315,4425,76,588,Z,0,replays/2ndRun\05f70cf4a1424463b247415e9e69f371.SC2Replay
18,lIIllllIIlll,72,16457,2475,33,578,T,1,replays/2ndRun\05f70cf4a1424463b247415e9e69f371.SC2Replay
19,ZhuGeLiang,61,46157,10275,88,1028,Z,1,replays/2ndRun\05f9e4aa68c94d69a3933bab19966bf0.SC2Replay
20,JonSnow,66,24373,7875,73,708,Z,0,replays/2ndRun\05f9e4aa68c94d69a3933bab19966bf0.SC2Replay
21,ByuN,50,16439,2000,30,581,T,0,replays/2ndRun\06b5b273d51748efb78de8f79bf9910b.SC2Replay
22,Stats,61,15408,2300,10,573,P,1,replays/2ndRun\06b5b273d51748efb78de8f79bf9910b.SC2Replay
23,Raze,30,11971,1375,6,392,P,0,replays/2ndRun\06c2145c1cf243269e050c1d58d8e674.SC2Replay
24,Dolan,28,8379,1700,17,395,T,1,replays/2ndRun\06c2145c1cf243269e050c1d58d8e674.SC2Replay
25,Harstem,63,19005,5550,16,697,P,1,replays/2ndRun\06c267255b5e4caeb47ef416a1e1a196.SC2Replay
26,Stats,67,22695,2575,12,691,P,0,replays/2ndRun\06c267255b5e4caeb47ef416a1e1a196.SC2Replay
27,Revolution,17,12003,1025,19,408,Z,0,replays/2ndRun\06d46743f9a04586a5e2ff880014295d.SC2Replay
28,Zanster,31,7844,1525,21,408,Z,1,replays/2ndRun\06d46743f9a04586a5e2ff880014295d.SC2Replay
29,Guru,64,35767,7750,69,898,Z,1,replays/2ndRun\06de1d29e67b4c61b88bec62744ece06.SC2Replay
30,MaNa,46,13338,700,5,480,P,0,replays/2ndRun\06de1d29e67b4c61b88bec62744ece06.SC2Replay
31,Fist,42,11453,1650,30,430,Z,0,replays/2ndRun\06e105e1a8ab4d0fb17b3c6e7d29b7d6.SC2Replay
32,Rex,49,8380,1625,26,413,Z,1,replays/2ndRun\06e105e1a8ab4d0fb17b3c6e7d29b7d6.SC2Replay
33,TooDming,65,9997,3325,56,511,Z,1,replays/2ndRun\06eefb9f1975438693fa17d2065ea1de.SC2Replay
34,xKawaiian,38,11365,2150,27,525,T,0,replays/2ndRun\06eefb9f1975438693fa17d2065ea1de.SC2Replay
35,Elazer,42,10931,2100,42,406,Z,1,replays/2ndRun\06f0d1c9759045f192070085ab23c24a.SC2Replay
36,Scarlett,45,9833,2125,34,415,Z,0,replays/2ndRun\06f0d1c9759045f192070085ab23c24a.SC2Replay
37,PtitDrogo,25,5887,1225,7,299,P,1,replays/2ndRun\06fc07c82ef345e1a6a7a1a89eecc3bc.SC2Replay
38,OGZest,25,5660,725,4,310,P,0,replays/2ndRun\06fc07c82ef345e1a6a7a1a89eecc3bc.SC2Replay
39,ShaDoWn,48,9736,1000,5,417,P,0,replays/2ndRun\07d561fb0cdf4a258f2b12ba4dadf916.SC2Replay
40,Solar,56,9671,1675,19,425,Z,1,replays/2ndRun\07d561fb0cdf4a258f2b12ba4dadf916.SC2Replay
41,Optimus,67,23701,2375,24,750,T,1,replays/2ndRun\07d6911f8fa84e47969f1df1c86c2139.SC2Replay
42,Zanster,52,23940,6000,50,735,Z,0,replays/2ndRun\07d6911f8fa84e47969f1df1c86c2139.SC2Replay
43,Nerchio,61,41044,7375,72,920,Z,0,replays/2ndRun\07e4640be7784ef4bed54019d192636f.SC2Replay
