,Unnamed: 0.1,Unnamed: 0,player,total_workers,resource_mining,total_army_value,total_army,time,fraction,winner,replay_filename
644,644,644,herO,45,9332,1025,6,454,0,0,replays/4thRun\82ab897bcd2f440789f733c3f268623d.SC2Replay
645,645,645,Lambo,28,5973,2775,24,366,0,0,replays/4thRun\82ae94fbe15f44cabfc4b8169c639201.SC2Replay
646,646,646,PtitDrogo,38,8275,1175,6,397,0,1,replays/4thRun\82ae94fbe15f44cabfc4b8169c639201.SC2Replay
647,647,647,HeroMarine,71,20813,2850,11,655,0,1,replays/4thRun\82dbc31998a944eb93e24f7189c100e8.SC2Replay
648,648,648,GOStephano,61,18845,3325,53,588,0,0,replays/4thRun\82dbc31998a944eb93e24f7189c100e8.SC2Replay
649,649,649,Semper,22,4609,500,2,248,0,0,replays/4thRun\82de6ad0574f4ab6aa242e9552d1552d.SC2Replay
650,650,650,HeroMarine,24,4316,600,5,268,0,1,replays/4thRun\82de6ad0574f4ab6aa242e9552d1552d.SC2Replay
651,651,651,Sugar,24,5601,350,2,283,0,0,replays/4thRun\82e5195c233543b98258ccca5884b499.SC2Replay
652,652,652,Clem,27,3999,600,7,306,0,1,replays/4thRun\82e5195c233543b98258ccca5884b499.SC2Replay
653,653,653,Kelazhur,21,1767,200,2,208,0,1,replays/4thRun\82f37e7987064303b5080db89a7c6912.SC2Replay
654,654,654,ByRada,20,2649,350,5,196,0,0,replays/4thRun\82f37e7987064303b5080db89a7c6912.SC2Replay
655,655,655,Light,34,7074,775,7,355,0,1,replays/4thRun\83a6025ef1c048c096e8fa665814abcf.SC2Replay
656,656,656,JimRising,23,6462,1500,36,352,0,0,replays/4thRun\83a6025ef1c048c096e8fa665814abcf.SC2Replay
657,657,657,iGJim,33,5230,950,5,313,0,0,replays/4thRun\83bd538ca8ee4abead4f9c9d13db7594.SC2Replay
658,658,658,iGXY,24,4677,700,10,304,0,0,replays/4thRun\83bd538ca8ee4abead4f9c9d13db7594.SC2Replay
659,659,659,三族统领随机娜,0,0,0,0,0,0,0,replays/4thRun\83bd538ca8ee4abead4f9c9d13db7594.SC2Replay
660,660,660,iGRushcrazy,0,0,0,0,0,0,0,replays/4thRun\83bd538ca8ee4abead4f9c9d13db7594.SC2Replay
661,661,661,Harstem,67,26584,1200,4,697,0,1,replays/4thRun\84a96bce9234423ebb6fa85a8c03355d.SC2Replay
662,662,662,Namshar,79,18675,6925,69,701,0,0,replays/4thRun\84a96bce9234423ebb6fa85a8c03355d.SC2Replay
663,663,663,Nerchio,69,12477,4300,38,566,0,1,replays/4thRun\84d01702956e430685463be3dce63721.SC2Replay
664,664,664,ShoWTimE,60,12983,1700,7,562,0,0,replays/4thRun\84d01702956e430685463be3dce63721.SC2Replay
665,665,665,TYTY,60,15878,2875,37,615,0,0,replays/4thRun\84d893b2b3294c4bb22dd59baeb5289a.SC2Replay
666,666,666,OGZest,55,21501,800,4,594,0,1,replays/4thRun\84d893b2b3294c4bb22dd59baeb5289a.SC2Replay
667,667,667,PtitDrogo,40,9582,1050,5,419,0,1,replays/4thRun\84de0c7275954f63b639682583e648f3.SC2Replay
668,668,668,McMonroe,34,6646,925,18,420,0,0,replays/4thRun\84de0c7275954f63b639682583e648f3.SC2Replay
669,669,669,Stats,61,25625,775,4,610,0,1,replays/4thRun\85ad56f0e29641ad8083cbf60640cd63.SC2Replay
670,670,670,aLive,37,15590,2650,28,624,0,0,replays/4thRun\85ad56f0e29641ad8083cbf60640cd63.SC2Replay
671,671,671,Lambo,56,14034,5100,65,548,0,1,replays/4thRun\85c7af4dfee747e8a410a7bde87eee3a.SC2Replay
672,672,672,llllllllllll,44,9908,1800,8,459,0,0,replays/4thRun\85c7af4dfee747e8a410a7bde87eee3a.SC2Replay
673,673,673,GOStephano,51,18274,6050,49,597,0,0,replays/4thRun\85cf7eab1c804b84b61fc217bd884e7b.SC2Replay
674,674,674,OGZest,55,17936,1775,7,562,0,1,replays/4thRun\85cf7eab1c804b84b61fc217bd884e7b.SC2Replay
675,675,675,lllIIIIllll,43,8232,1350,6,390,0,0,replays/4thRun\85f4e541470a4b3bab72161cfaf34abf.SC2Replay
676,676,676,TSGSolar,43,7877,1650,24,400,0,1,replays/4thRun\85f4e541470a4b3bab72161cfaf34abf.SC2Replay
677,677,677,Ryung,68,28203,2300,14,656,0,0,replays/4thRun\86a5f2c387fe4ed2a025e039d13097dd.SC2Replay
678,678,678,Snute,73,32231,2850,31,650,0,1,replays/4thRun\86a5f2c387fe4ed2a025e039d13097dd.SC2Replay
679,679,679,BackupC,65,26516,4325,24,762,0,1,replays/4thRun\86b0ec9cbbb44482967750e5b038a180.SC2Replay
680,680,680,Mackintac,41,27799,5750,54,768,0,0,replays/4thRun\86b0ec9cbbb44482967750e5b038a180.SC2Replay
681,681,681,Elazer,42,7569,2550,23,401,0,1,replays/4thRun\86b35eec6a68479392dcac8e4cfff43d.SC2Replay
682,682,682,Sioras,29,11925,2800,40,404,0,0,replays/4thRun\86b35eec6a68479392dcac8e4cfff43d.SC2Replay
683,683,683,DnS,42,7431,875,4,373,0,1,replays/4thRun\86b62ba6bfb14606994eb73fe3ae0280.SC2Replay
684,684,684,ZenedoR,24,6880,1775,38,359,0,0,replays/4thRun\86b62ba6bfb14606994eb73fe3ae0280.SC2Replay
685,685,685,Elazer,37,5847,1925,34,355,0,0,replays/4thRun\86c1035a2cd64de2a609a437a3f7402a.SC2Replay
686,686,686,Scarlett,34,6024,1900,30,367,0,1,replays/4thRun\86c1035a2cd64de2a609a437a3f7402a.SC2Replay
687,687,687,PartinG,22,5265,1150,7,417,0,0,replays/4thRun\86cf41e51c3e4e41a8cd618f3e4c6c20.SC2Replay
688,688,688,GOStephano,34,13779,1325,23,462,0,1,replays/4thRun\86cf41e51c3e4e41a8cd618f3e4c6c20.SC2Replay
689,689,689,aLive,47,25255,4275,53,669,0,1,replays/4thRun\86e5d2974c334a8e97fadcde221f1c3b.SC2Replay
690,690,690,Harstem,63,16422,2025,10,676,0,0,replays/4thRun\86e5d2974c334a8e97fadcde221f1c3b.SC2Replay
691,691,691,MaSa,69,29633,3875,47,741,0,1,replays/4thRun\87a5b1a42a3041f88fc6a87d936d448f.SC2Replay
692,692,692,ViBE,67,35343,3600,33,746,0,0,replays/4thRun\87a5b1a42a3041f88fc6a87d936d448f.SC2Replay
693,693,693,iAsonu,64,10581,2300,25,578,0,0,replays/4thRun\87b9d27bc1cb41afb8bddd00b0a524aa.SC2Replay
694,694,694,Elazer,61,16087,3000,26,574,0,1,replays/4thRun\87b9d27bc1cb41afb8bddd00b0a524aa.SC2Replay
695,695,695,Harstem,69,29900,1525,6,621,0,1,replays/4thRun\87c37e825ac844b491b4c19882f46db7.SC2Replay
696,696,696,RiSky,84,14138,4300,47,625,0,0,replays/4thRun\87c37e825ac844b491b4c19882f46db7.SC2Replay
697,697,697,Mana,42,8501,675,4,388,0,1,replays/4thRun\87c47cbc60a941679896f2c6fae37c5f.SC2Replay
698,698,698,Jason,37,10487,1025,12,389,0,0,replays/4thRun\87c47cbc60a941679896f2c6fae37c5f.SC2Replay
699,699,699,FireCake,47,16272,2600,24,548,0,0,replays/4thRun\87d5a7676cc44fbf86b6d329bd0f2969.SC2Replay
700,700,700,Polt,46,15484,1475,19,552,0,1,replays/4thRun\87d5a7676cc44fbf86b6d329bd0f2969.SC2Replay
701,701,701,Snute,29,4612,1275,24,294,0,0,replays/4thRun\87e734c8b9924840a4907423ff029858.SC2Replay
702,702,702,ByuN,28,4894,350,6,285,0,1,replays/4thRun\87e734c8b9924840a4907423ff029858.SC2Replay
703,703,703,LiquidSnute,74,24635,4075,65,666,0,1,replays/4thRun\87f056cad96541b28330b51dfba81ab0.SC2Replay
704,704,704,Geralt,58,32605,1550,6,698,0,0,replays/4thRun\87f056cad96541b28330b51dfba81ab0.SC2Replay
705,705,705,Optimus,57,20050,2550,31,710,0,1,replays/4thRun\87f40ddc1a3d43619c787726788cece7.SC2Replay
706,706,706,YoGo,53,9732,2575,56,556,0,0,replays/4thRun\87f40ddc1a3d43619c787726788cece7.SC2Replay
707,707,707,Rose,24,4950,1600,35,314,0,0,replays/4thRun\88a219db47d343e2831296a09a180446.SC2Replay
708,708,708,Rex,25,6395,1275,24,377,0,1,replays/4thRun\88a219db47d343e2831296a09a180446.SC2Replay
709,709,709,doudou,54,69071,6575,62,1136,0,0,replays/4thRun\88bf858eb98b4d4eb36d887fe5cc0183.SC2Replay
710,710,710,开局要打鸡儿盒饭,65,28963,2950,13,736,0,0,replays/4thRun\88bf858eb98b4d4eb36d887fe5cc0183.SC2Replay
711,711,711,Psmoonsun,0,0,0,0,0,0,1,replays/4thRun\88bf858eb98b4d4eb36d887fe5cc0183.SC2Replay
712,712,712,PsRush,0,0,0,0,0,0,1,replays/4thRun\88bf858eb98b4d4eb36d887fe5cc0183.SC2Replay
713,713,713,Elazer,66,11064,2800,29,480,0,1,replays/4thRun\88e06204bb0b4c37adc5300086d07298.SC2Replay
714,714,714,FeaR,37,9313,575,3,398,0,0,replays/4thRun\88e06204bb0b4c37adc5300086d07298.SC2Replay
715,715,715,Neeb,67,27698,3225,13,714,0,1,replays/4thRun\88fa2de6746548c2b91a9b1c659ad93d.SC2Replay
716,716,716,Nerchio,72,40924,8650,51,791,0,0,replays/4thRun\88fa2de6746548c2b91a9b1c659ad93d.SC2Replay
717,717,717,aLive,48,16158,2975,34,585,0,1,replays/4thRun\88fda16ffa904e4cab1844d5b6c3b239.SC2Replay
718,718,718,Neeb,52,13470,1025,7,570,0,0,replays/4thRun\88fda16ffa904e4cab1844d5b6c3b239.SC2Replay
719,719,719,hinO,13,3366,1300,30,255,0,0,replays/4thRun\89c0f4db98954bee937895f824ccdeee.SC2Replay
720,720,720,losira,19,4518,1000,18,268,0,1,replays/4thRun\89c0f4db98954bee937895f824ccdeee.SC2Replay
721,721,721,SpeCial,49,11562,1550,18,472,0,1,replays/4thRun\89c1141f74a94a78af8f0173ec244951.SC2Replay
722,722,722,MeomaikA,49,11885,3200,24,482,0,0,replays/4thRun\89c1141f74a94a78af8f0173ec244951.SC2Replay
723,723,723,MaSa,61,21983,5150,49,843,0,0,replays/4thRun\89d8192f6c274e7fbf1e611be5c572ea.SC2Replay
724,724,724,uThermal,46,19487,5475,69,837,0,1,replays/4thRun\89d8192f6c274e7fbf1e611be5c572ea.SC2Replay
725,725,725,Rose,73,27623,6400,50,790,0,0,replays/4thRun\89de5f729bbb4968bdad366533f16cfc.SC2Replay
726,726,726,FWHas,67,42021,1900,7,751,0,1,replays/4thRun\89de5f729bbb4968bdad366533f16cfc.SC2Replay
727,727,727,PiLiPiLi,44,18395,1375,6,539,0,0,replays/4thRun\89e7c322eeeb4ccfa94ee280b9418e45.SC2Replay
728,728,728,Serral,51,13619,5675,62,563,0,1,replays/4thRun\89e7c322eeeb4ccfa94ee280b9418e45.SC2Replay
729,729,729,Harstem,42,7052,675,4,359,0,1,replays/4thRun\90ae11d84b17487995612123dcd8cb64.SC2Replay
730,730,730,Allaryce,19,8476,1125,18,376,0,0,replays/4thRun\90ae11d84b17487995612123dcd8cb64.SC2Replay
731,731,731,Arctur,55,14584,1450,23,598,0,0,replays/4thRun\90b30915ef8d41aabb8ab310185c13ed.SC2Replay
732,732,732,losira,70,14730,3750,53,613,0,1,replays/4thRun\90b30915ef8d41aabb8ab310185c13ed.SC2Replay
733,733,733,BackupC,25,8007,1225,15,353,0,0,replays/4thRun\90e3075623d24480a3820487db8d7a44.SC2Replay
734,734,734,Harstem,34,6028,875,6,344,0,1,replays/4thRun\90e3075623d24480a3820487db8d7a44.SC2Replay
735,735,735,Nice,66,23454,3000,11,706,0,1,replays/4thRun\90fc6b43018c4abbaf53e34d465ec9cc.SC2Replay
736,736,736,GoGojOey,78,35926,5500,49,705,0,0,replays/4thRun\90fc6b43018c4abbaf53e34d465ec9cc.SC2Replay
737,737,737,StriKE,36,14272,1650,21,485,0,0,replays/4thRun\90fdcfdd155b410c89d16d9cc2be7152.SC2Replay
738,738,738,MaNa,47,11967,1325,6,489,0,1,replays/4thRun\90fdcfdd155b410c89d16d9cc2be7152.SC2Replay
739,739,739,Elazer,40,7188,1450,12,430,0,1,replays/4thRun\91ba46833a8e42a89a96e5e94b27b7f9.SC2Replay
740,740,740,Stephano,40,9830,1300,19,428,0,0,replays/4thRun\91ba46833a8e42a89a96e5e94b27b7f9.SC2Replay
741,741,741,LiquidSnute,66,17785,5900,62,615,0,0,replays/4thRun\91bdaa127ca84c848fc5daed06ed0aae.SC2Replay
742,742,742,Solar,65,15806,5575,55,625,0,1,replays/4thRun\91bdaa127ca84c848fc5daed06ed0aae.SC2Replay
743,743,743,LiquidMaNa,67,19273,1425,7,600,0,1,replays/4thRun\91bfc18ebfd54ef3b701ab60ea467c1f.SC2Replay
744,744,744,Lambo,59,24899,4300,36,607,0,0,replays/4thRun\91bfc18ebfd54ef3b701ab60ea467c1f.SC2Replay
745,745,745,losira,77,32913,8700,127,893,0,1,replays/4thRun\91c62d3a900d459f9ebd66d5e5497f27.SC2Replay
746,746,746,jjakji,61,45808,5125,64,892,0,0,replays/4thRun\91c62d3a900d459f9ebd66d5e5497f27.SC2Replay
747,747,747,Lambo,55,7548,1800,23,438,0,1,replays/4thRun\91d1470afdbc49cba7bc93aef04d14f7.SC2Replay
748,748,748,Zest,45,9539,1000,5,421,0,0,replays/4thRun\91d1470afdbc49cba7bc93aef04d14f7.SC2Replay
749,749,749,Bails,74,23564,2800,9,735,0,0,replays/4thRun\91d480178cb84f91ba309d809a2ed371.SC2Replay
750,750,750,BLY,77,23986,5600,81,666,0,1,replays/4thRun\91d480178cb84f91ba309d809a2ed371.SC2Replay
751,751,751,Serral,62,27592,8800,109,799,0,1,replays/4thRun\91d591a3d6bc4e58889b387875d4805d.SC2Replay
752,752,752,Dark,69,27441,6550,63,772,0,0,replays/4thRun\91d591a3d6bc4e58889b387875d4805d.SC2Replay
753,753,753,SpeCial,63,34328,7700,81,908,0,1,replays/4thRun\91ed066927ec4b198a4d00406c933571.SC2Replay
754,754,754,iAsonu,69,40061,9375,119,897,0,0,replays/4thRun\91ed066927ec4b198a4d00406c933571.SC2Replay
755,755,755,NonY,30,6168,1000,5,343,0,1,replays/4thRun\92af88a43d074341b79abac96812e1c8.SC2Replay
756,756,756,xKawaiian,27,8104,1125,13,359,0,0,replays/4thRun\92af88a43d074341b79abac96812e1c8.SC2Replay
757,757,757,PtitDrogo,69,23689,1150,6,631,0,1,replays/4thRun\92c2d2ee67884448aa9d3bb495da058a.SC2Replay
758,758,758,MarineLorD,63,19783,2525,31,639,0,0,replays/4thRun\92c2d2ee67884448aa9d3bb495da058a.SC2Replay
759,759,759,Harstem,55,21979,2075,7,723,0,0,replays/4thRun\92c40c4ff9bb4b19893d730515603c82.SC2Replay
760,760,760,MaSa,44,14496,5325,71,724,0,1,replays/4thRun\92c40c4ff9bb4b19893d730515603c82.SC2Replay
761,761,761,eGGz,20,2382,200,2,171,0,0,replays/4thRun\92d3c5306766485fa92aca362773cde5.SC2Replay
762,762,762,Stephano,13,2539,500,14,180,0,1,replays/4thRun\92d3c5306766485fa92aca362773cde5.SC2Replay
763,763,763,Namshar,25,3662,700,9,248,0,1,replays/4thRun\92e8675f741145679d849061f3027999.SC2Replay
764,764,764,Serphim,22,3867,325,2,216,0,0,replays/4thRun\92e8675f741145679d849061f3027999.SC2Replay
765,765,765,Bunny,53,15602,1925,23,556,0,1,replays/4thRun\93a61d1ba2674f8caa04c91bc13b1c34.SC2Replay
766,766,766,eonblu,59,11925,2375,38,560,0,0,replays/4thRun\93a61d1ba2674f8caa04c91bc13b1c34.SC2Replay
767,767,767,Zanster,57,6350,3350,27,452,0,1,replays/4thRun\93b401766abd4db4961b757fb93bdbe0.SC2Replay
768,768,768,Sevnin,47,11633,650,4,452,0,0,replays/4thRun\93b401766abd4db4961b757fb93bdbe0.SC2Replay
769,769,769,Serral,21,3635,825,14,258,0,0,replays/4thRun\93cd2715d6394ca29d5f87b185db148a.SC2Replay
770,770,770,liquidthermy,17,2512,300,3,212,0,1,replays/4thRun\93cd2715d6394ca29d5f87b185db148a.SC2Replay
771,771,771,Lambo,12,85,100,1,15,0,0,replays/4thRun\93d640264b3c4c2586f37f790062f94d.SC2Replay
772,772,772,A.I. 1 (Very Easy),13,80,0,0,18,0,1,replays/4thRun\93d640264b3c4c2586f37f790062f94d.SC2Replay
773,773,773,DnS,44,7904,1000,5,438,0,1,replays/4thRun\93f312acd48b44f38193711865046d7d.SC2Replay
774,774,774,SortOf,46,9976,1300,17,438,0,0,replays/4thRun\93f312acd48b44f38193711865046d7d.SC2Replay
775,775,775,MarineLorD,27,4996,250,4,278,0,1,replays/4thRun\93fbba92abf44fc3b7dd43d2f401fb16.SC2Replay
776,776,776,Nerchio,31,3613,850,7,276,0,0,replays/4thRun\93fbba92abf44fc3b7dd43d2f401fb16.SC2Replay
777,777,777,soul,76,36095,5800,63,961,0,0,replays/4thRun\93fe07b0f86e46abb3bd801d69361732.SC2Replay
778,778,778,Zanster,79,65532,7650,129,996,0,1,replays/4thRun\93fe07b0f86e46abb3bd801d69361732.SC2Replay
779,779,779,Nerchio,59,20547,11275,96,864,0,1,replays/4thRun\93fe611c06254c01a3ce85aa31df864e.SC2Replay
780,780,780,BLY,62,33534,10700,85,859,0,0,replays/4thRun\93fe611c06254c01a3ce85aa31df864e.SC2Replay
781,781,781,Dark,19,4263,600,13,262,0,1,replays/4thRun\94a4c62d4bb145de9b35490c08c89454.SC2Replay
782,782,782,ShoWTimE,24,3568,500,4,260,0,0,replays/4thRun\94a4c62d4bb145de9b35490c08c89454.SC2Replay
