,player,total_workers,resource_mining,total_army_value,total_army,time,fraction,winner,replay_filename
392,Serral,42,12498,2075,24,517,Z,1,replays/3rdRun\43b69dc4ca494e2086e5f472f9e1d40b.SC2Replay
393,TooDming,38,11963,2025,47,502,Z,0,replays/3rdRun\43b69dc4ca494e2086e5f472f9e1d40b.SC2Replay
394,Lambo,60,13468,2350,31,481,Z,1,replays/3rdRun\43c363308eb54a63bfaf241e7576e5e3.SC2Replay
395,StriKE,42,19892,1175,10,461,T,0,replays/3rdRun\43c363308eb54a63bfaf241e7576e5e3.SC2Replay
396,Clem,36,7971,700,6,390,T,0,replays/3rdRun\43c527ff3d64471e98cfe9187088484d.SC2Replay
397,lllIIIIllll,40,7518,975,5,383,P,1,replays/3rdRun\43c527ff3d64471e98cfe9187088484d.SC2Replay
398,ZhuGeLiang,15,7197,1175,31,396,Z,0,replays/3rdRun\43cf9bf1c1b141a3b6770e969cf62a3c.SC2Replay
399,AdminC,26,8548,1725,20,418,Z,1,replays/3rdRun\43cf9bf1c1b141a3b6770e969cf62a3c.SC2Replay
400,jjakji,54,28409,4750,49,890,T,0,replays/3rdRun\43cfacb7e44644038e52d926f95b1ab5.SC2Replay
401,TYTY,63,39119,5400,65,893,T,1,replays/3rdRun\43cfacb7e44644038e52d926f95b1ab5.SC2Replay
402,TLO,63,13671,6100,50,628,Z,1,replays/3rdRun\43d0dd0f11784c879b9264a3291af04b.SC2Replay
403,PandaBearMe,62,24597,5050,41,631,Z,0,replays/3rdRun\43d0dd0f11784c879b9264a3291af04b.SC2Replay
404,Revolution,64,27097,3150,39,621,Z,0,replays/3rdRun\43d5bb24dfca41f0a063772febc406f1.SC2Replay
405,SpeCial,68,27452,1750,10,640,T,1,replays/3rdRun\43d5bb24dfca41f0a063772febc406f1.SC2Replay
406,Scarlett,57,10942,2400,42,483,Z,1,replays/3rdRun\43dd2e04646b4a1da04157e1d609068b.SC2Replay
