,player,total_workers,resource_mining,total_army_value,total_army,supply,time,fraction,winner,replay_filename
46,ObiWanPwnobi,17,710,0,0.0,23.0,80,P,0,replays/2ndRun\07f2f989d5a64e3aa0e430fe739b68c0.SC2Replay
47,eonblu,58,32346,3200,31.0,122.0,825,Z,0,replays/2ndRun\07f901e09f994a78a9eb89b10832f33d.SC2Replay
48,Clem,48,18649,2625,37.0,118.0,776,T,1,replays/2ndRun\07f901e09f994a78a9eb89b10832f33d.SC2Replay
49,PiLiPiLi,41,11126,625,8.0,62.0,371,P,0,replays/2ndRun\08a3adfbadc44e5c92320dad48e16332.SC2Replay
50,PandaBearMe,44,5900,1050,10.0,66.0,361,Z,1,replays/2ndRun\08a3adfbadc44e5c92320dad48e16332.SC2Replay
51,MaNa,49,20225,3225,34.0,118.0,665,P,0,replays/2ndRun\08b98a000de449e19f5e8a58ae2fb14a.SC2Replay
52,INnoVation,52,17373,3925,67.0,134.0,648,T,1,replays/2ndRun\08b98a000de449e19f5e8a58ae2fb14a.SC2Replay
53,Harstem,37,5110,600,7.0,54.0,310,P,0,replays/2ndRun\08e5b16f21f6474d9ac177798be740f7.SC2Replay
54,Elazer,27,5650,1050,12.0,52.0,319,Z,1,replays/2ndRun\08e5b16f21f6474d9ac177798be740f7.SC2Replay
55,Serral,41,7268,3175,31.5,98.0,451,Z,0,replays/2ndRun\09b52dcc90b84a889a41ee63cf52585f.SC2Replay
56,Neeb,47,9615,475,5.0,78.0,448,P,1,replays/2ndRun\09b52dcc90b84a889a41ee63cf52585f.SC2Replay
57,LiquidMaNa,59,27219,1900,21.0,125.0,750,P,0,replays/2ndRun\09c727fc85514809a59bfcad38f070f8.SC2Replay
58,Elazer,47,8990,5225,64.5,122.0,519,Z,1,replays/2ndRun\09c727fc85514809a59bfcad38f070f8.SC2Replay
59,Soulkey,58,17017,2850,22.0,98.0,544,Z,0,replays/2ndRun\09db9834b3794d01813271a3d3361822.SC2Replay
60,ByuN,52,13922,1400,26.0,101.0,541,T,1,replays/2ndRun\09db9834b3794d01813271a3d3361822.SC2Replay
61,Bly,32,10881,1100,9.0,44.0,485,Z,0,replays/2ndRun\4deca5847e2a46129fd3765652fb246d.SC2Replay
62,Namshar,39,10011,1275,10.5,52.0,468,Z,1,replays/2ndRun\4deca5847e2a46129fd3765652fb246d.SC2Replay
63,Rose,28,8455,925,8.5,44.0,375,Z,0,replays/2ndRun\4df6244f2e834c3285baa1a8f593d996.SC2Replay
64,Nice,24,7171,1125,15.0,39.0,328,P,1,replays/2ndRun\4df6244f2e834c3285baa1a8f593d996.SC2Replay
65,Lambo,83,41771,13550,125.0,230.0,820,Z,0,replays/2ndRun\4e0124f1c83f4186b4da33dcbff2a1d6.SC2Replay
66,LiquidMaNa,73,34693,2600,31.0,180.0,828,P,1,replays/2ndRun\4e0124f1c83f4186b4da33dcbff2a1d6.SC2Replay
67,BLY,59,13972,3200,32.0,106.0,503,Z,0,replays/2ndRun\4e113276fa9244d3b8d10bbe1d694beb.SC2Replay
68,puCK,44,10970,775,10.0,78.0,462,P,1,replays/2ndRun\4e113276fa9244d3b8d10bbe1d694beb.SC2Replay
69,LiquidSnute,32,8373,1075,10.5,44.0,522,Z,0,replays/2ndRun\4e16af124b6045279da5dc89d494c115.SC2Replay
70,Lambo,24,11087,1350,11.0,52.0,514,Z,1,replays/2ndRun\4e16af124b6045279da5dc89d494c115.SC2Replay
71,GOStephano,78,41289,10575,109.5,258.0,872,Z,1,replays/2ndRun\4e18d474e55c41cd99506d6b48baf49d.SC2Replay
72,InZaNe,72,34280,5850,92.0,196.0,869,T,0,replays/2ndRun\4e18d474e55c41cd99506d6b48baf49d.SC2Replay
73,JJAKJI,60,16091,4225,71.0,141.0,748,T,0,replays/2ndRun\4e1bbc8dbcb74a65ab16970ab27c977c.SC2Replay
74,Zest,68,29087,1050,11.0,181.0,738,P,1,replays/2ndRun\4e1bbc8dbcb74a65ab16970ab27c977c.SC2Replay
75,Hjax,44,20591,800,9.0,78.0,518,P,0,replays/2ndRun\4e3cbe4fb00c45e1aa8bc2b03da77829.SC2Replay
76,TheWagon,50,19995,6000,70.0,146.0,739,Z,1,replays/2ndRun\4e3cbe4fb00c45e1aa8bc2b03da77829.SC2Replay
77,DnS,45,9113,600,7.0,70.0,421,P,1,replays/2ndRun\4e56e15004814adb8082dc4f8a022d2e.SC2Replay
78,RlSky,50,10993,1775,17.5,74.0,431,Z,0,replays/2ndRun\4e56e15004814adb8082dc4f8a022d2e.SC2Replay
79,GAMETIME,19,4609,1500,20.0,44.0,290,Z,0,replays/2ndRun\4e6cb06730cc4f40bac6f235ab2a021e.SC2Replay
80,iaguz,33,7204,750,11.0,54.0,344,T,1,replays/2ndRun\4e6cb06730cc4f40bac6f235ab2a021e.SC2Replay
81,PiG,33,6240,1250,12.0,52.0,328,Z,1,replays/2ndRun\4eea08a1b16c471ebcd14f7666bfb4b6.SC2Replay
82,iaguz,31,6396,800,16.0,54.0,328,T,0,replays/2ndRun\4eea08a1b16c471ebcd14f7666bfb4b6.SC2Replay
83,Happy,65,30368,5450,77.0,149.0,788,T,0,replays/2ndRun\4ef81385dd2a4fcdb1adc2085a58fffd.SC2Replay
84,hydra,69,36993,9550,115.0,200.0,878,Z,1,replays/2ndRun\4ef81385dd2a4fcdb1adc2085a58fffd.SC2Replay
85,TheoRy,58,19898,1750,20.0,117.0,599,P,1,replays/2ndRun\4f1f7f8a282e4118abd0d99da336cfab.SC2Replay
86,PengWin,52,20069,3450,33.0,98.0,602,Z,0,replays/2ndRun\4f1f7f8a282e4118abd0d99da336cfab.SC2Replay
87,Elazer,67,22679,8650,92.0,176.0,740,Z,0,replays/2ndRun\4f33a10497664b3b964977078bc34f1d.SC2Replay
88,PiLiPiLi,56,43683,5350,48.0,157.0,927,P,1,replays/2ndRun\4f33a10497664b3b964977078bc34f1d.SC2Replay
89,LiquidSnute,35,7520,1950,22.0,68.0,444,Z,0,replays/2ndRun\4f530904ca8143b8955458dd2787c01a.SC2Replay
90,Harstem,38,9400,1525,20.0,70.0,443,P,1,replays/2ndRun\4f530904ca8143b8955458dd2787c01a.SC2Replay
91,TheoRy,71,53079,10355,95.0,228.0,1144,P,1,replays/2ndRun\4f6d418579664df3ac409cd964b51d8a.SC2Replay
92,PengWin,74,92939,14725,128.5,214.0,1136,Z,0,replays/2ndRun\4f6d418579664df3ac409cd964b51d8a.SC2Replay
93,Dark,46,10106,2850,31.0,92.0,500,Z,1,replays/2ndRun\4f7abd8dcc80486f93a3027c9798b4e5.SC2Replay
94,Elazer,45,9536,3350,39.0,100.0,530,Z,0,replays/2ndRun\4f7abd8dcc80486f93a3027c9798b4e5.SC2Replay
95,Solar,50,8190,1875,17.5,90.0,513,Z,0,replays/2ndRun\4f7c5491d76f490abe3ef11813d98aa6.SC2Replay
96,Zest,53,12794,1025,11.0,102.0,522,P,1,replays/2ndRun\4f7c5491d76f490abe3ef11813d98aa6.SC2Replay
97,SLeet,23,3483,550,4.0,36.0,218,Z,1,replays/2ndRun\4f7cb91b3d364e1185f047a3a5704d29.SC2Replay
98,mLty,21,3261,100,1.0,31.0,210,T,0,replays/2ndRun\4f7cb91b3d364e1185f047a3a5704d29.SC2Replay
99,DnS,67,25850,1250,12.0,141.0,664,P,0,replays/2ndRun\4f980480e10445f7905a5278583b6978.SC2Replay
100,Serral,66,18325,3375,33.5,120.0,595,Z,1,replays/2ndRun\4f980480e10445f7905a5278583b6978.SC2Replay
101,Raze,68,54760,3400,39.0,180.0,926,P,1,replays/2ndRun\4faaf67bdbaf49e4855aede93bb2ad86.SC2Replay
102,THERIDDLER,62,25189,5800,88.0,157.0,748,T,0,replays/2ndRun\4faaf67bdbaf49e4855aede93bb2ad86.SC2Replay
103,TIME,41,16831,2825,45.0,86.0,696,T,0,replays/2ndRun\4fb00fc091c147c2afefa9a06047d05a.SC2Replay
104,iGiA,53,19594,3075,31.5,110.0,694,Z,1,replays/2ndRun\4fb00fc091c147c2afefa9a06047d05a.SC2Replay
105,TooDming,61,21579,2850,25.0,98.0,766,Z,1,replays/2ndRun\4fc26ef7c32c492f9708b36dad5c6110.SC2Replay
106,HeltEn,48,19545,1275,21.0,78.0,538,T,0,replays/2ndRun\4fc26ef7c32c492f9708b36dad5c6110.SC2Replay
107,Serral,44,10999,2200,19.0,82.0,449,Z,0,replays/2ndRun\4fd3e2a8fa1b4a44a4c02696098b7973.SC2Replay
108,Optimus,51,15713,1175,20.0,101.0,571,T,1,replays/2ndRun\4fd3e2a8fa1b4a44a4c02696098b7973.SC2Replay
109,YouRush,65,21311,2150,16.0,114.0,580,Z,0,replays/2ndRun\4fe447752a5146e8a754425252bcb29b.SC2Replay
110,Nice,61,26685,1400,14.0,101.0,606,P,1,replays/2ndRun\4fe447752a5146e8a754425252bcb29b.SC2Replay
111,TYTY,75,31898,6425,98.0,188.0,930,T,1,replays/2ndRun\4fe5c0b9b81b49578fee4dc67cd3dc8d.SC2Replay
112,OGZest,69,55702,3250,35.0,228.0,1033,P,0,replays/2ndRun\4fe5c0b9b81b49578fee4dc67cd3dc8d.SC2Replay
113,Azure,66,34101,4050,73.0,149.0,798,T,0,replays/2ndRun\4fe6c4dd7dad4bb3ae061cce5d825bf0.SC2Replay
114,PiG,88,41445,11350,111.0,214.0,830,Z,1,replays/2ndRun\4fe6c4dd7dad4bb3ae061cce5d825bf0.SC2Replay
115,Clem,80,27363,7900,109.0,228.0,923,T,0,replays/2ndRun\4fef11e0656f489d8b78e470a3f57e82.SC2Replay
