,player,total_workers,resource_mining,total_army_value,total_army,supply,time,fraction,winner,replay_filename
642,iGMacSed,47,20084,1850,18.0,78.0,590,P,0,replays/4thRun\81e9be87a18f48c6b2708717d91005b0.SC2Replay
643,HeRoMaRinE,47,13229,3100,50.0,110.0,578,T,1,replays/4thRun\82ab897bcd2f440789f733c3f268623d.SC2Replay
644,herO,45,9332,1025,11.0,78.0,454,P,0,replays/4thRun\82ab897bcd2f440789f733c3f268623d.SC2Replay
645,Lambo,28,5973,2775,33.5,68.0,366,Z,0,replays/4thRun\82ae94fbe15f44cabfc4b8169c639201.SC2Replay
646,PtitDrogo,38,8275,1175,14.0,94.0,397,P,1,replays/4thRun\82ae94fbe15f44cabfc4b8169c639201.SC2Replay
647,HeroMarine,71,20813,2850,33.0,125.0,655,T,1,replays/4thRun\82dbc31998a944eb93e24f7189c100e8.SC2Replay
648,GOStephano,61,18845,3325,29.5,138.0,588,Z,0,replays/4thRun\82dbc31998a944eb93e24f7189c100e8.SC2Replay
649,Semper,22,4609,500,6.0,31.0,248,T,0,replays/4thRun\82de6ad0574f4ab6aa242e9552d1552d.SC2Replay
650,HeroMarine,24,4316,600,8.0,39.0,268,T,1,replays/4thRun\82de6ad0574f4ab6aa242e9552d1552d.SC2Replay
651,Sugar,24,5601,350,4.0,39.0,283,T,0,replays/4thRun\82e5195c233543b98258ccca5884b499.SC2Replay
652,Clem,27,3999,600,9.0,46.0,306,T,1,replays/4thRun\82e5195c233543b98258ccca5884b499.SC2Replay
653,Kelazhur,21,1767,200,2.0,31.0,208,T,1,replays/4thRun\82f37e7987064303b5080db89a7c6912.SC2Replay
654,ByRada,20,2649,350,1.0,36.0,196,Z,0,replays/4thRun\82f37e7987064303b5080db89a7c6912.SC2Replay
655,Light,34,7074,775,13.0,54.0,355,T,1,replays/4thRun\83a6025ef1c048c096e8fa665814abcf.SC2Replay
656,JimRising,23,6462,1500,21.0,60.0,352,Z,0,replays/4thRun\83a6025ef1c048c096e8fa665814abcf.SC2Replay
