,player,total_workers,resource_mining,total_army_value,total_army,supply,time,fraction,winner,replay_filename
0,uThermal,25,3721,600,6,39.0,266,T,1,replays/tsRun\008796e8147b4c24badbf44afbff07cc.SC2Replay
1,BackupB,50,28430,5600,78,149.0,858,T,0,replays/tsRun\0220453eb72e47ff94ea4b22352a4235.SC2Replay
2,Apogee,27,8997,350,5,47.0,349,T,0,replays/tsRun\02416d1b667e42d08d20416e40756707.SC2Replay
3,Drunkenboi,31,5519,1125,14,54.0,348,T,1,replays/tsRun\02416d1b667e42d08d20416e40756707.SC2Replay
4,PSiArc,73,44444,5400,69,181.0,882,T,0,replays/tsRun\024397f44fe54c98b26b69c2b8fb4ea3.SC2Replay
5,DeMusliM,26,6413,550,7,39.0,303,T,0,replays/tsRun\04881a2f8a244809a8ed54ca69a66a09.SC2Replay
6,Semper,67,29833,3675,65,149.0,738,T,1,replays/tsRun\05361f503a2943be9a1ab01aeecca355.SC2Replay
7,Happy,75,30058,4425,66,165.0,762,T,0,replays/tsRun\05620a22926546bfa3af36148e11576d.SC2Replay
8,Apogee,23,4229,0,0,31.0,244,T,0,replays/tsRun\08069d45f202454594baad8b3dbcd02f.SC2Replay
9,Drunkenboi,23,4195,200,3,31.0,235,T,1,replays/tsRun\08069d45f202454594baad8b3dbcd02f.SC2Replay
10,soul,64,17742,4125,45,133.0,640,T,0,replays/tsRun\092189c066a445e1ae0f327e2d0e3191.SC2Replay
11,HeroMarine,67,18268,4100,43,117.0,653,T,1,replays/tsRun\092189c066a445e1ae0f327e2d0e3191.SC2Replay
12,MaSa,50,10019,1450,25,85.0,546,T,1,replays/tsRun\094670d0fa084d9aad8fd11b95f591a0.SC2Replay
13,xKawaiian,43,14129,2300,35,118.0,589,T,0,replays/tsRun\09527d346ae4429f9808a3f78cff8950.SC2Replay
14,DeMusliM,22,6205,600,12,39.0,344,T,0,replays/tsRun\095924aab3f743c7b264f6cb6d9c3e33.SC2Replay
15,souL,63,19419,3925,60,165.0,740,T,0,replays/tsRun\0996c74518394f959e1a99dd52442bb9.SC2Replay
16,Kozan,54,15289,3500,56,118.0,584,T,1,replays/tsRun\1031e221874144edba102c78d84ef410.SC2Replay
17,MaSa,36,7041,1025,15,62.0,366,T,0,replays/tsRun\10743ee64c654d50be22918946c02645.SC2Replay
18,Namshar,12,50,0,0,15.0,0,T,0,replays/tsRun\10992f5ce6c249a9bd1ebf09625e58ff.SC2Replay
19,MMA,29,9882,1250,16,62.0,492,T,0,replays/tsRun\110149bdc00c4f27b8eb6b8807557847.SC2Replay
20,MaSa,24,3922,525,8,39.0,267,T,0,replays/tsRun\1101bf33071f46819b589f660007db5b.SC2Replay
21,Kelazhur,68,43755,5925,95,189.0,865,T,1,replays/tsRun\116207efb25e4edaa3687a13ed4abff7.SC2Replay
22,liquidthermy,40,7577,1600,27,78.0,422,T,0,replays/tsRun\1244ea1743544a7faeed423169d749e0.SC2Replay
23,Optimus,51,12224,2425,41,94.0,602,T,0,replays/tsRun\1257f96f97064e3d8a84c426dd7cb604.SC2Replay
24,MaSa,25,7630,1850,24,71.0,442,T,0,replays/tsRun\1270d4250c224edd80aac861524a9b7b.SC2Replay
25,TIME,29,7752,700,8,39.0,353,T,0,replays/tsRun\1286e66aaae04ddb879fe61b21e97e7f.SC2Replay
26,Kas,43,14933,2375,27,78.0,536,T,0,replays/tsRun\130476c612c64b0cafd8bd22d0bce5d7.SC2Replay
27,HeroMarine,52,14671,2350,26,93.0,540,T,1,replays/tsRun\130476c612c64b0cafd8bd22d0bce5d7.SC2Replay
28,HeRoMaRinE,46,11497,3475,53,102.0,542,T,1,replays/tsRun\1385dbd9b36d420ab0b2f45c2a682467.SC2Replay
29,Expect,24,4351,400,4,31.0,265,T,0,replays/tsRun\142072ed43fd4882863eda65f3295105.SC2Replay
30,uThermal,51,19376,2200,36,117.0,617,T,0,replays/tsRun\15337d2b19524e06bccda114dfbe009b.SC2Replay
31,TIME,65,50732,7575,107,180.0,1019,T,0,replays/tsRun\1557ad1708974872944449ebbd4d6ce9.SC2Replay
32,Expect,41,11805,1300,22,70.0,448,T,0,replays/tsRun\1567fbbc586b454bb0c8fe19bcf06c20.SC2Replay
33,uThermal,41,10809,875,15,62.0,422,T,1,replays/tsRun\1619c1bb10874e0fb04efa6feef9a840.SC2Replay
34,Kelazhur,24,3665,300,4,31.0,232,T,1,replays/tsRun\182731d087f54d07a463b855e1764fa7.SC2Replay
35,ShahriarDeMi,23,4328,300,4,31.0,234,T,0,replays/tsRun\182731d087f54d07a463b855e1764fa7.SC2Replay
36,TYTY,77,55495,7900,102,204.0,1235,T,1,replays/tsRun\1888b4696fb840faa5e02ba72ee05204.SC2Replay
37,uThermaL,70,22094,4800,71,165.0,775,T,1,replays/tsRun\1931b716bf584189ace27c3ac913108a.SC2Replay
38,Bunny,36,7302,950,16,54.0,358,T,1,replays/tsRun\1944a24e12bf41588bd80a1accda8582.SC2Replay
39,SpeCial,12,100,0,0,15.0,0,T,0,replays/tsRun\2036d4e327ab40e98c8ad1f492430b2d.SC2Replay
40,jjakji,22,5999,650,10,46.0,318,T,1,replays/tsRun\2127cfdd9296409c909cb1e26eb79396.SC2Replay
41,aLive,24,5751,600,10,46.0,322,T,0,replays/tsRun\2127cfdd9296409c909cb1e26eb79396.SC2Replay
42,INnoVation,28,5685,900,14,46.0,328,T,1,replays/tsRun\21926f6a999a42d8a055cb531879d0a2.SC2Replay
43,uThermal,57,16644,3425,49,125.0,686,T,1,replays/tsRun\22351cd8c3374557be6634ef4f21417d.SC2Replay
44,Pokebunny,39,16905,1675,18,62.0,496,T,1,replays/tsRun\2255fa2bb1b94f8b85794708f9d58f85.SC2Replay
45,UpATree,23,4863,350,4,31.0,258,T,0,replays/tsRun\2255fa2bb1b94f8b85794708f9d58f85.SC2Replay
46,yohilo,22,2070,100,1,31.0,185,T,0,replays/tsRun\22808bf5582840ea9656a108638eb45e.SC2Replay
47,MarineLorD,73,22400,3550,51,149.0,725,T,0,replays/tsRun\237774c54d71411b97d5a9ab93b8cf0c.SC2Replay
48,MaSa,59,12197,2750,37,117.0,553,T,1,replays/tsRun\2412d365ac084b5a9bb81afc11033b55.SC2Replay
