,player,total_workers,total_army_value,total_army,time,fraction,winner,replay_filename,resource_consumption,resource_mining
44,TIME,31,550,6,337,T,0,replays/1stRun\03ec7b932cfd4f83bc0946466d1da66c.SC2Replay,1641.6666666666667,4178.8
45,Reynor,35,1375,20,353,Z,1,replays/1stRun\03ec7b932cfd4f83bc0946466d1da66c.SC2Replay,1818.75,4942.0
46,LiquidSnute,59,19150,115,2437,Z,1,replays/1stRun\04ab6eb69a6c4f919839938101a8a0b0.SC2Replay,3116.521739130435,57513.200000000004
47,aLive,63,14450,85,2321,T,0,replays/1stRun\04ab6eb69a6c4f919839938101a8a0b0.SC2Replay,3320.0,58489.200000000004
48,Snute,74,5475,45,683,Z,1,replays/1stRun\04af96ad18974a37a4e2c53d5c3975af.SC2Replay,3821.6666666666665,20216.8
49,Cuddlebear,73,2500,16,684,T,0,replays/1stRun\04af96ad18974a37a4e2c53d5c3975af.SC2Replay,3806.25,19972.800000000003
50,SpeCial,67,7625,82,1044,T,1,replays/1stRun\04b6f08f4b9f46f3bc62c170ddaa579f.SC2Replay,3442.987804878049,27979.2
51,Neeb,73,5150,18,1035,P,0,replays/1stRun\04b6f08f4b9f46f3bc62c170ddaa579f.SC2Replay,3936.1111111111113,30222.000000000004
52,Elazer,51,4950,46,522,Z,0,replays/1stRun\04cead413e7a4e479f6786d57cdc207b.SC2Replay,2657.608695652174,10648.800000000001
53,soO,54,4050,33,518,Z,1,replays/1stRun\04cead413e7a4e479f6786d57cdc207b.SC2Replay,2822.7272727272725,11188.800000000001
54,RAIL,48,1000,5,455,P,0,replays/1stRun\04e5747302304279bbaf13d298237c18.SC2Replay,2600.0,8736.000000000002
55,SortOf,59,2700,39,489,Z,1,replays/1stRun\04e5747302304279bbaf13d298237c18.SC2Replay,3019.230769230769,11540.400000000001
56,RiSky,80,11250,182,822,Z,0,replays/1stRun\0a07fed3ad8749a4b2c64be5a205c9a0.SC2Replay,4061.813186813187,26304.0
57,InZaNe,73,6925,77,959,T,1,replays/1stRun\0a07fed3ad8749a4b2c64be5a205c9a0.SC2Replay,3739.935064935065,28002.800000000003
58,NeXa,23,1025,6,626,P,0,replays/1stRun\0a0cdd1b8f9f4bf7a79793f656c4165c.SC2Replay,1320.8333333333333,5759.200000000001
59,Buster,43,1525,19,680,T,1,replays/1stRun\0a0cdd1b8f9f4bf7a79793f656c4165c.SC2Replay,2230.2631578947367,11696.0
60,SortOf,27,1500,20,419,Z,0,replays/1stRun\0a0d156fb323465a9da45aadafac23f8.SC2Replay,1425.0,4525.200000000001
61,TIME,28,1450,9,419,T,1,replays/1stRun\0a0d156fb323465a9da45aadafac23f8.SC2Replay,1561.111111111111,4692.8
62,Optimus,47,3700,40,682,T,0,replays/1stRun\0a21c3752d6d44019f0682cec09dca01.SC2Replay,2442.5,12821.6
63,Bunny,57,1875,10,687,T,1,replays/1stRun\0a21c3752d6d44019f0682cec09dca01.SC2Replay,3037.5,15663.6
64,iGiA,50,9500,90,1085,Z,0,replays/1stRun\0a2654dba651453bba0e5aacd81f86e5.SC2Replay,2605.555555555556,21700.0
65,iGXiGua,66,11350,84,874,Z,1,replays/1stRun\0a2654dba651453bba0e5aacd81f86e5.SC2Replay,3435.119047619048,23073.600000000002
66,HaPe,25,550,4,315,P,1,replays/1stRun\0a3222d3532e49a5b350a715b7e1dd41.SC2Replay,1387.5,3150.0
67,WhiteWolf,22,400,7,301,T,0,replays/1stRun\0a3222d3532e49a5b350a715b7e1dd41.SC2Replay,1157.142857142857,2648.8
68,PandaBearMe,25,1575,33,321,Z,1,replays/1stRun\0a3a125d7c7a4fdc8f3e8c231bcd574d.SC2Replay,1297.7272727272727,3210.0
69,Livibee,32,1175,20,320,Z,0,replays/1stRun\0a3a125d7c7a4fdc8f3e8c231bcd574d.SC2Replay,1658.75,4096.0
