,player,total_workers,resource_mining,total_army_value,total_army,supply,time,fraction,winner,replay_filename
2870,ShoWTimE,48,8293,1250,14.0,86.0,467,Protoss,1,replays/4thRun\610a05c99bb9435db9d7486a55bc4179.SC2Replay
2871,GuMiho,40,10286,1850,24.0,78.0,477,Terraner,1,replays/4thRun\619bc35dd78b4aef9d41132f6c950c71.SC2Replay
2872,Arctur,35,11076,1500,19.0,62.0,436,Terraner,0,replays/4thRun\619bc35dd78b4aef9d41132f6c950c71.SC2Replay
2873,iGJim,36,6274,450,6.0,54.0,341,Protoss,1,replays/4thRun\619df7c9a2e847e0a60fea0a074fa553.SC2Replay
2874,TIME,34,7381,750,13.0,46.0,345,Terraner,0,replays/4thRun\619df7c9a2e847e0a60fea0a074fa553.SC2Replay
2875,CatZ,42,12916,1500,15.0,60.0,515,Zerg,1,replays/4thRun\623d4ae91525437fa2756f53ffd60815.SC2Replay
2876,Pono,20,8651,1525,19.5,52.0,407,Zerg,0,replays/4thRun\623d4ae91525437fa2756f53ffd60815.SC2Replay
2877,Elazer,31,8690,2075,24.5,58.0,400,Zerg,1,replays/4thRun\624ce6bb2cb844e0b641322f345ac0fb.SC2Replay
2878,Namshar,24,10673,2250,29.0,66.0,397,Zerg,0,replays/4thRun\624ce6bb2cb844e0b641322f345ac0fb.SC2Replay
2879,Raze,50,12625,1500,15.0,86.0,535,Protoss,1,replays/4thRun\629e6c75e8dd4fbc93f42d2cb49433ca.SC2Replay
2880,Dolan,31,14632,2025,33.0,62.0,522,Terraner,0,replays/4thRun\629e6c75e8dd4fbc93f42d2cb49433ca.SC2Replay
2881,PartinG,52,15143,975,10.0,102.0,592,Protoss,1,replays/4thRun\632d469c8e694b09a3e7ac48b442a254.SC2Replay
2882,FanTaSy,53,14797,2625,41.0,110.0,592,Terraner,0,replays/4thRun\632d469c8e694b09a3e7ac48b442a254.SC2Replay
2883,Happy,39,16250,2725,39.0,102.0,690,Terraner,1,replays/4thRun\638a0906022d44d099b26a79c263d9a2.SC2Replay
2884,LiquidMaNa,47,19134,1750,19.0,94.0,686,Protoss,0,replays/4thRun\638a0906022d44d099b26a79c263d9a2.SC2Replay
2885,Probe,26,9579,800,12.0,47.0,350,Protoss,0,replays/4thRun\638b27ecc8824b19a9cb73b7a91a2d57.SC2Replay
2886,PtitDrogo,30,14658,1050,15.0,70.0,440,Protoss,1,replays/4thRun\638b27ecc8824b19a9cb73b7a91a2d57.SC2Replay
2887,EnDerr,18,3658,575,4.5,36.0,235,Zerg,1,replays/4thRun\639b6c4d33774200881673a766b46f12.SC2Replay
2888,Seventy,22,2658,0,0.0,47.0,238,Protoss,0,replays/4thRun\639b6c4d33774200881673a766b46f12.SC2Replay
2889,MaSa,53,14045,1750,27.0,86.0,555,Terraner,0,replays/4thRun\648b9edeedd34c9391aa3ef1e814fa2b.SC2Replay
2890,Elazer,66,12243,2600,22.0,114.0,558,Zerg,1,replays/4thRun\648b9edeedd34c9391aa3ef1e814fa2b.SC2Replay
2891,OGZest,58,35540,2525,30.0,149.0,842,Protoss,0,replays/4thRun\654a6aace3a545dd8a6a62d8faeec08b.SC2Replay
2892,soO,70,39994,6575,70.5,152.0,844,Zerg,1,replays/4thRun\654a6aace3a545dd8a6a62d8faeec08b.SC2Replay
2893,uThermal,63,29771,3700,62.0,149.0,904,Terraner,0,replays/4thRun\655df45f526e41728cfed4a91de32467.SC2Replay
2894,GAMETIME,63,34423,7225,62.5,152.0,900,Zerg,1,replays/4thRun\655df45f526e41728cfed4a91de32467.SC2Replay
2895,Reynor,58,11400,3200,35.0,98.0,536,Zerg,1,replays/4thRun\660c06680ca943d287cace8b1a83119b.SC2Replay
2896,PSiArc,48,15072,2025,28.0,93.0,531,Terraner,0,replays/4thRun\660c06680ca943d287cace8b1a83119b.SC2Replay
2897,Toodming,30,10909,2900,29.0,82.0,515,Zerg,1,replays/4thRun\661a7b30cfdc4a21a79e51e4bbded281.SC2Replay
2898,GogojOey,24,13051,2550,22.0,106.0,507,Zerg,0,replays/4thRun\661a7b30cfdc4a21a79e51e4bbded281.SC2Replay
2899,Elroye,56,20328,7250,93.0,170.0,746,Zerg,0,replays/4thRun\662b214fdd8d4ba79648f6a6ca1219bf.SC2Replay
2900,Dana,57,16787,6950,87.0,154.0,745,Zerg,1,replays/4thRun\662b214fdd8d4ba79648f6a6ca1219bf.SC2Replay
2901,ShoWTimE,12,100,0,0.0,15.0,0,Protoss,1,replays/4thRun\662fa8d119b6494aba64a1c33fe816d8.SC2Replay
2902,Krr,66,25493,5140,50.0,141.0,727,Protoss,1,replays/4thRun\663b603ed0704eb9bae322152ec1c10c.SC2Replay
2903,ParanOid,87,46545,6425,52.5,176.0,744,Zerg,0,replays/4thRun\663b603ed0704eb9bae322152ec1c10c.SC2Replay
2904,Happy,63,20867,2925,41.0,133.0,680,Terraner,0,replays/4thRun\664a30fc81834f5dba6e7ab55908b3cb.SC2Replay
2905,LiquidSnute,78,48345,4325,42.5,152.0,683,Zerg,1,replays/4thRun\664a30fc81834f5dba6e7ab55908b3cb.SC2Replay
2906,LiquidSnute,48,22011,2750,24.0,106.0,582,Zerg,1,replays/4thRun\664bd93e1497431d98334cadf2c94f0a.SC2Replay
2907,AxImpact,40,12334,4725,57.5,122.0,590,Zerg,0,replays/4thRun\664bd93e1497431d98334cadf2c94f0a.SC2Replay
2908,PiLiPiLi,23,4953,700,10.0,47.0,290,Protoss,1,replays/4thRun\671dfd604d8d405e84f32f8b71046fcc.SC2Replay
2909,PandaBearMe,27,6373,900,8.0,44.0,282,Zerg,0,replays/4thRun\671dfd604d8d405e84f32f8b71046fcc.SC2Replay
2910,ShoWTimE,35,7599,1125,14.0,70.0,366,Protoss,1,replays/4thRun\671f2181d0064dab8c38cc744aa2ae81.SC2Replay
2911,HateMe,47,9964,1925,19.5,74.0,425,Zerg,0,replays/4thRun\671f2181d0064dab8c38cc744aa2ae81.SC2Replay
2912,Nerchio,39,6920,1750,20.0,68.0,412,Zerg,1,replays/4thRun\678d0e87e0314fe3b6e80d85fd2d074e.SC2Replay
2913,Zest,36,5555,125,2.0,46.0,329,Protoss,0,replays/4thRun\678d0e87e0314fe3b6e80d85fd2d074e.SC2Replay
2914,HeroMarine,45,16132,1350,21.0,78.0,567,Terraner,0,replays/4thRun\679e4501708d4f9092c1ff5856d44503.SC2Replay
2915,TRUE,62,11303,2350,22.0,98.0,572,Zerg,1,replays/4thRun\679e4501708d4f9092c1ff5856d44503.SC2Replay
2916,HeltEn,64,32892,5950,101.0,173.0,826,Terraner,0,replays/4thRun\681bcafa44b14cc3b15922502b828101.SC2Replay
2917,FoolOfaTook,62,39253,9900,90.0,182.0,827,Zerg,1,replays/4thRun\681bcafa44b14cc3b15922502b828101.SC2Replay
2918,Fist,55,38168,6000,60.0,146.0,722,Zerg,0,replays/4thRun\683f6f927ca9416d92c08d8ab7800610.SC2Replay
2919,Nice,64,30515,1900,19.0,117.0,772,Protoss,1,replays/4thRun\683f6f927ca9416d92c08d8ab7800610.SC2Replay
2920,TIME,60,45720,2650,34.0,117.0,814,Terraner,1,replays/4thRun\689a8312fa3b4177a6ce414308ba5fbe.SC2Replay
2921,Lambo,50,21013,3975,38.5,144.0,720,Zerg,0,replays/4thRun\689a8312fa3b4177a6ce414308ba5fbe.SC2Replay
2922,viOLet,50,19268,3350,34.0,92.0,594,Zerg,0,replays/4thRun\692e2596875942469c13fdf5e433a531.SC2Replay
2923,uThermal,53,13256,3000,44.0,125.0,596,Terraner,1,replays/4thRun\692e2596875942469c13fdf5e433a531.SC2Replay
2924,ByuN,66,21173,2550,45.0,125.0,676,Terraner,1,replays/4thRun\696b0c9625e242e9b9a8b9d3966b099c.SC2Replay
